name,net_profits_2017_1,net_profits_2017_2,net_profits_2017_3,net_profits_2017_4,net_profits_2018_1,net_profits_2018_2,net_profits_2018_3,net_profits_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
商业城,171.9346,142.2706,114.9175,82.4033,-24.3986,-54.3834,-86.4004,,百货,辽宁,0.0,1.77,1.78,185129.02,45775.64,105138.57,20389.11,1.14,-0.485,0.35,19.81,20001226.0,-33790.93,-1.9,11.52,-175.18,16.23,-12.51,14740.0
韶钢松山,168.1588,649.6478,1750.2624,2516.5474,858.314,1756.7533,2757.0751,,普钢,广东,3.82,24.2,24.2,1600226.88,476939.31,1028200.81,323557.91,1.34,1.14,2.35,2.47,19970508.0,-61368.0,-0.25,8.33,54.02,19.6,14.23,114786.0
东湖高新,686.8356,714.7392,734.2096,923.9752,29.945999999999998,137.2626,186.8888,,园区开发,湖北,20.8,5.97,7.26,2341927.25,1687502.75,84108.71,127472.35,1.76,0.24,5.05,1.41,19980212.0,137713.48,1.9,25.91,-74.55,15.5,3.14,90350.0
华通热力,112.738,77.1772,34.7754,52.2131,85.6705,50.6598,18.2288,,供气供热,北京,77.82,0.64,1.23,138944.56,57429.3,38890.53,26070.17,2.12,0.15,5.0,3.08,20170915.0,20960.81,1.7,7.41,-47.58,11.11,3.09,20389.0
敦煌种业,273.7035,193.9913,124.1691,25.6056,-41.3714,-79.558,-123.9346,,种植业,甘肃,0.0,5.28,5.28,222215.84,146212.59,48192.03,89895.68,1.7,-0.235,1.5,2.86,20040115.0,-66517.61,-1.26,81.19,-199.81,11.08,-33.82,63641.0
天津松江,423.3024,447.5248,396.1643,199.7788,-160.1238,-187.438,-263.2363,,区域地产,天津,0.0,9.33,9.35,1403465.25,974864.81,23057.34,114885.02,1.23,-0.281,1.46,2.39,20000127.0,-92293.17,-0.99,135.47,-166.45,20.47,-11.9,26017.0
沧州大化,424.8125,656.0819,964.9116,1283.0424,397.7034,768.0617,1028.8685,,农药化肥,河北,5.9,4.12,4.12,474093.41,241698.17,212021.84,52450.05,1.27,2.498,8.8,2.23,20000406.0,249963.34,6.07,13.47,6.63,51.71,28.98,45404.0
西藏珠峰,305.8753,569.8767,824.2773,1113.6447,223.7491,529.9541,768.5149,,铅锌,西藏,15.36,6.53,6.53,412807.47,253908.66,104445.77,2236.43,0.03,1.177,3.73,6.45,20001227.0,239178.8,3.66,-11.42,-6.77,71.52,48.95,25035.0
华联控股,758.4114,1051.7958,1080.9825,1343.1251,105.3236,380.3736,738.2359,,全国地产,深圳,7.46,11.36,11.41,1142238.0,923225.63,86969.38,23789.64,0.21,0.647,4.02,1.6,19940617.0,285830.44,2.5,-10.56,-31.71,73.7,27.23,61806.0
朗玛信息,240.8041,273.35200000000003,310.2056,97.1416,,50.1344,77.7453,,软件服务,贵州,48.22,2.03,3.38,172174.38,48869.21,16058.0,38467.53,1.14,0.23,3.82,3.87,20120216.0,52030.5,1.54,13.0,-9.91,51.26,22.23,41378.0
西水股份,2117.8868,2355.706,2486.7097,2395.0876,213.5117,319.7223,401.7074,,保险,内蒙,30.63,10.93,10.93,12754009.0,0.0,113473.96,589512.69,5.39,0.368,11.63,1.29,20000731.0,331683.19,3.03,-19.73,-83.85,0.0,2.23,92655.0
京粮控股,13.7571,17.2261,113.8332,129.6032,31.0419,59.919,102.2644,,食品,海南,31.18,4.06,6.86,558037.25,341677.78,128434.6,159254.16,2.32,0.149,3.21,1.93,19921221.0,-19684.73,-0.29,0.44,0.42,9.04,1.85,37523.0
紫光学大,9.1549,100.4168,63.6477,24.3809,3.0069999999999997,101.0969,68.3027,,文教休闲,福建,23.42,0.96,0.96,378610.38,165760.13,15181.04,5808.39,0.6,0.71,1.43,15.53,19931101.0,-2202.04,-0.23,2.64,7.31,29.04,2.91,12160.0
浙数文化,1259.7513,1319.4932,1551.8098,1656.9364,88.5484,305.9861,399.5846,,互联网,浙江,26.51,12.9,13.02,992505.63,266023.13,10121.07,327681.19,2.52,0.307,6.09,1.78,19930304.0,344176.34,2.64,13.47,-74.25,69.53,30.16,55981.0
联美控股,451.5746,450.1452,467.3884,922.1238,594.7889,596.0684,637.6424,,供气供热,辽宁,26.75,8.22,17.6,1056727.0,564758.25,255590.2,283892.81,1.61,0.36200000000000004,4.27,3.02,19990128.0,273073.06,1.55,11.71,36.43,45.83,42.67,11082.0
曙光股份,446.8228,394.6131,383.6969,316.033,13.89,17.0205,-30.8023,,汽车整车,辽宁,0.0,6.2,6.76,673770.13,295015.31,243236.45,111036.77,1.64,-0.046,4.4,1.14,20001226.0,91205.21,1.35,-16.97,-108.03,16.31,-1.37,73360.0
粤泰股份,725.1229,911.8026,1192.0341,1167.8579,160.7808,568.8505,628.601,,全国地产,广东,8.84,9.88,25.36,1998867.0,1863854.25,21206.47,207172.13,0.82,0.248,2.44,1.2,20010319.0,137087.27,0.54,-50.41,-47.27,37.21,25.18,33501.0
分众传媒,1106.7614,2532.9549,3916.5376,6004.7068,1207.4602,3346.96,4809.7608,,影视音像,广东,15.82,146.78,146.78,1848553.25,1214367.25,126250.55,18620.78,0.01,0.32799999999999996,0.92,7.5,20040804.0,1327224.25,0.9,24.59,22.81,69.24,44.22,134296.0
