name,net_profits_2016_2,net_profits_2016_3,net_profits_2016_4,net_profits_2017_1,net_profits_2017_2,net_profits_2017_3,net_profits_2017_4,net_profits_2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
上实发展,206.2367,316.1012,591.8603,120.0715,227.6135,353.7516,872.3371,131.0345,全国地产,上海,16.86,14.08,18.45,3958675.5,3440388.5,9592.21,311596.72,1.69,0.071,5.44,0.88,19960925.0,439652.94,2.38,25.07,11.54,37.0,9.94,40665.0
钱江摩托,50.4378,55.1361,328.2446,21.7551,50.6517,51.0763,82.7437,20.3009,摩托车,浙江,61.77,4.54,4.54,425891.91,243639.2,77915.6,135880.52,3.0,0.045,5.51,2.01,19990514.0,37878.2,0.84,42.97,-6.68,20.25,2.62,14358.0
丰原药业,26.3042,43.0681,45.8363,9.3687,43.5499,60.3423,65.3481,11.4414,化学制药,安徽,46.77,3.12,3.17,281679.34,157126.36,78586.15,50661.2,1.6,0.036000000000000004,3.84,1.76,20000920.0,32349.05,1.02,35.52,22.12,32.04,1.6,34906.0
海马汽车,174.5593,208.9828,230.2309,50.4731,24.3733,-62.781000000000006,-994.3591,-86.3808,汽车整车,海南,0.0,16.42,16.45,1446404.13,494656.41,249309.05,376545.72,2.29,-0.053,3.92,0.79,19940808.0,88573.88,0.54,-50.57,-271.14,9.24,-5.34,91196.0
盛洋科技,11.8168,19.0811,27.3029,13.6243,20.2419,26.726,24.2172,-5.1054,通信设备,浙江,0.0,1.09,2.3,107709.52,71562.97,27532.35,8562.71,0.37,-0.022000000000000002,2.3,4.03,20150423.0,18443.67,0.8,-20.22,-128.29,17.7,-2.95,21642.0
航天机电,96.3722,93.4702,200.4526,-125.5729,-198.5225,-243.9927,-309.1033,-134.5736,半导体,上海,0.0,13.89,14.34,1441482.25,724763.19,395647.72,468947.09,3.27,-0.094,3.9,1.06,19980605.0,-78618.1,-0.55,39.76,-7.17,13.26,-9.33,118300.0
华录百纳,91.4219,179.007,378.4578,63.7421,64.5127,117.2325,110.1985,-46.6094,影视音像,北京,0.0,5.97,8.12,709725.63,469387.31,625.8,452084.06,5.56,-0.057,7.82,0.87,20120209.0,98515.31,1.21,-40.99,-173.12,2.23,-20.59,27527.0
科林环保,16.3227,18.0654,,4.9269,43.5326,45.538999999999994,41.6084,25.2379,环境保护,江苏,23.48,1.63,1.89,169165.02,144210.27,20212.75,35115.26,1.86,0.134,4.06,3.09,20101109.0,20257.4,1.07,-48.08,412.24,37.97,25.15,16566.0
力生制药,69.2816,79.0252,115.6063,40.7092,78.3835,100.0005,116.8172,40.929,化学制药,天津,27.43,1.82,1.82,381561.59,221823.05,112307.36,169156.41,9.27,0.22399999999999998,17.11,1.44,20100423.0,87376.35,4.79,38.19,0.54,67.07,10.39,21571.0
华丽家族,86.6465,125.3013,128.8062,86.6835,63.246,112.4433,225.3381,9.6193,区域地产,上海,176.15,16.02,16.02,609008.38,291524.94,11009.28,95009.28,0.59,0.006,2.25,1.88,20020709.0,83056.0,0.52,-78.9,-88.9,34.41,6.68,201619.0
航发控制,112.988,158.8843,208.8444,36.582,143.2635,183.4083,217.64,58.1405,航空,江苏,75.42,11.46,11.46,710194.13,424073.34,184716.75,266719.88,2.33,0.051,4.53,3.38,19970626.0,129609.02,1.13,-2.62,58.93,29.49,10.56,91483.0
皖通科技,28.9129,56.0269,76.8727,11.7718,32.1891,60.4554,82.7176,12.754000000000001,软件服务,安徽,57.97,2.95,3.88,228180.27,141644.13,17526.4,85477.09,2.2,0.03,4.48,1.7,20100106.0,43146.34,1.11,-2.28,8.34,24.19,4.78,41620.0
中元股份,31.3386,56.8322,106.7802,10.5451,25.0676,48.3809,100.0981,5.3916,电气设备,湖北,114.34,3.46,4.84,172756.41,98784.88,5425.33,63171.76,1.3,0.011000000000000001,3.11,1.64,20091030.0,38260.93,0.79,18.45,-48.87,61.86,7.76,25710.0
东方集团,446.5237,507.0357,762.2701,85.4617,403.7872,490.0265,769.0303,166.3667,综合类,黑龙江,24.0,32.73,37.15,4947342.0,2914804.5,80194.4,851629.0,2.29,0.045,5.38,0.8,19940106.0,525383.38,1.41,35.09,94.67,1.99,9.55,87465.0
新朋股份,52.9943,71.7852,95.4076,18.3018,49.3751,70.7361,92.0609,18.6599,汽车配件,上海,33.92,3.25,4.48,390439.88,188349.5,109170.67,120383.55,2.69,0.042,5.39,1.05,20091230.0,68448.06,1.53,53.54,1.96,13.77,1.9,34582.0
海螺型材,56.6313,91.0028,75.9719,-6.9505,2.3338,4.9633,9.0315,-15.3257,其他建材,安徽,0.0,3.6,3.6,350175.28,185889.73,134585.73,44097.85,1.22,-0.043,6.74,0.96,19961023.0,135653.2,3.77,-11.74,-120.5,9.52,-3.08,30435.0
