name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
博世科,5.33,4.19,6.28,1.61,5.07,7.69,12.63,4.95,环境保护,广西,21.94,2.64,3.56,438910.94,182039.34,26817.26,46505.71,1.31,0.17,3.43,4.35,20150217.0,38885.35,1.09,140.82,270.82,30.49,11.66,24347.0
东山精密,5.33,5.2,5.27,0.77,1.61,4.82,6.76,1.86,通信设备,江苏,46.33,7.75,10.71,2365141.25,1452752.25,411721.97,586794.94,5.48,0.16,7.6,3.45,20100409.0,96622.6,0.9,25.27,605.54,14.33,4.26,16326.0
三维丝,5.33,6.13,14.77,-1.09,-12.47,-12.8,3.0,-2.84,环境保护,福建,0.0,2.37,3.85,258706.59,135266.05,38778.2,91488.22,2.37,-0.10099999999999999,3.53,2.1,20100226.0,3873.06,0.1,15.78,-111.66,19.0,-34.92,21429.0
海汽集团,5.33,5.2,6.02,1.5,3.24,4.42,4.73,1.44,公路,海南,43.7,1.74,3.16,190929.22,69422.4,69523.65,37640.39,1.19,0.05,3.44,2.52,20160712.0,33918.89,1.07,-3.41,-1.65,22.16,5.02,20956.0
新凤鸣,5.32,12.31,23.53,6.83,9.42,15.53,22.81,3.93,化纤,浙江,18.06,1.19,8.43,1228001.38,410666.56,613670.69,169605.11,2.01,0.311,7.91,2.84,20170418.0,396960.72,4.71,23.26,15.87,8.38,4.58,34328.0
天虹股份,5.32,6.68,9.37,3.83,6.59,8.48,11.92,4.71,百货,深圳,14.43,12.0,12.0,1532187.25,854898.81,378884.31,170919.16,1.42,0.248,5.27,2.72,20100601.0,340830.09,2.84,9.89,33.73,26.02,5.71,17049.0
振芯科技,5.32,7.6,4.79,1.46,2.85,2.8,3.52,2.71,通信设备,四川,76.57,5.49,5.56,145526.45,111220.63,7609.36,10069.11,0.18,0.046,1.7,8.31,20100806.0,26296.55,0.47,-0.04,106.87,54.78,24.8,48284.0
国泰君安,5.32,7.84,9.84,2.58,4.06,5.82,8.02,1.8,证券,上海,14.62,75.16,87.14,45426240.0,0.0,270629.59,4389199.0,5.04,0.26,13.1,1.16,20150626.0,4029220.5,4.62,11.78,-11.85,0.0,36.18,167027.0
中光防雷,5.31,6.6,8.07,1.02,2.5,3.86,4.78,1.36,元器件,四川,69.17,1.57,1.71,95185.0,81158.11,6599.5,27226.39,1.59,0.064,4.69,3.78,20150513.0,31818.65,1.86,32.11,35.37,32.71,12.47,14023.0
健康元,5.3,6.84,8.38,3.32,5.82,27.4,28.88,2.97,化学制药,深圳,20.86,15.72,15.73,2216041.25,1410669.0,418463.88,93317.06,0.59,0.14400000000000002,4.82,2.48,20010608.0,471495.56,3.0,9.08,17.85,64.82,7.5,131992.0
合肥百货,5.3,6.55,7.93,3.04,4.86,6.82,5.81,3.0,百货,安徽,10.02,7.79,7.8,1019390.5,563773.06,172597.23,30882.48,0.4,0.145,4.84,1.2,19960812.0,190022.7,2.44,4.24,1.21,18.32,3.52,29851.0
云海金属,5.29,8.56,11.86,4.1,6.42,8.81,9.99,3.58,小金属,江苏,18.37,4.5,6.46,382302.13,190665.45,127933.07,46609.55,0.72,0.08900000000000001,2.49,2.64,20071113.0,44783.6,0.69,1.51,-5.58,12.3,4.98,68165.0
鲁泰A,5.29,8.68,11.6,2.22,5.73,8.38,11.63,2.16,纺织,山东,15.25,5.61,9.23,1041723.38,382088.88,532375.81,69949.36,0.76,0.17300000000000001,7.99,1.32,20001225.0,478838.09,5.19,19.14,0.17,28.58,10.48,61943.0
良信电器,5.28,8.89,10.44,1.94,7.11,10.9,12.44,2.31,电气设备,上海,33.05,5.47,7.86,212384.05,141972.38,24526.45,63274.57,0.8,0.051,2.2,3.06,20140121.0,52534.85,0.67,13.82,29.65,40.82,12.33,14780.0
奥康国际,5.28,6.32,7.45,2.7,4.34,4.74,5.55,2.84,服饰,浙江,9.99,4.01,4.01,530647.63,373744.0,48036.53,192974.38,4.81,0.298,10.47,1.14,20120426.0,165797.31,4.13,-1.55,4.75,38.15,13.75,20192.0
金发科技,5.28,7.08,7.63,1.29,2.48,4.65,5.52,1.83,塑料,广东,18.81,25.6,27.17,2104732.75,1134235.13,629065.0,348456.28,1.28,0.068,3.72,1.38,20040623.0,340776.22,1.25,2.75,46.02,14.52,3.35,85904.0
风神股份,5.27,6.54,3.44,-5.09,-4.93,-9.14,-24.75,-5.66,汽车配件,河南,0.0,5.62,5.62,769531.31,348937.75,316013.19,175495.2,3.12,-0.183,3.23,1.14,20031021.0,-77825.06,-1.38,-25.49,13.58,12.54,-7.17,26851.0
楚天高速,5.27,7.58,9.02,2.99,5.65,8.15,9.57,2.7,路桥,湖北,8.42,14.91,17.31,1075760.88,157070.02,61064.92,136261.86,0.79,0.09699999999999999,3.57,0.91,20040310.0,215202.05,1.24,25.48,-3.52,44.59,25.43,68530.0
三川智慧,5.26,7.87,9.13,1.45,2.99,4.22,5.2,1.15,电器仪表,江西,54.2,9.58,10.4,179576.13,111657.32,26113.38,6782.97,0.07,0.017,1.48,2.51,20100326.0,33479.95,0.32,12.41,-17.45,32.64,12.54,53310.0
星网宇达,5.26,11.51,10.38,0.5,2.68,5.07,8.03,0.47,通信设备,北京,308.4,0.62,1.6,166946.23,91324.53,24350.86,44698.65,2.79,0.023,4.93,5.85,20161213.0,31247.09,1.95,127.94,5.81,49.79,4.68,12682.0
宝光股份,5.25,8.56,7.67,1.29,4.79,6.96,7.26,0.95,电气设备,陕西,89.73,2.36,2.36,69657.18,46103.3,21189.25,763.87,0.03,0.02,2.13,3.43,20020116.0,22254.71,0.94,11.7,-22.46,21.15,2.92,14568.0
金新农,5.25,7.64,9.62,2.05,3.82,5.56,4.13,1.02,饲料,深圳,39.5,3.11,3.81,425868.09,190962.19,82136.5,87423.18,2.3,0.049,4.35,1.78,20110218.0,34038.96,0.89,-12.95,-46.0,14.83,2.52,32800.0
麦迪科技,5.25,,11.44,-0.8,3.46,7.13,11.78,-1.14,软件服务,江苏,0.0,0.6,0.81,60112.51,36873.32,21444.61,17799.45,2.2,-0.061,5.3,6.33,20161208.0,17823.07,2.2,9.98,-55.05,75.4,-13.49,6321.0
润欣科技,5.25,7.66,10.36,,5.99,8.87,10.88,2.64,通信设备,上海,72.35,1.55,3.18,114909.52,98817.31,283.57,3264.37,0.1,0.04,1.67,7.23,20151210.0,16594.25,0.52,4.2,25.55,12.31,3.57,19886.0
