name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
江苏雷利,2154.57,,32.88,9.52,6.71,9.46,10.95,2.37,电气设备,江苏,23.83,0.45,1.83,288951.13,262550.75,17094.36,152929.61,8.34,0.264,11.12,2.26,20170602.0,39810.23,2.17,15.44,-20.22,22.37,8.7,18251.0
太极集团,58.85,58.41,66.43,0.17,2.72,6.41,7.99,0.36,中成药,重庆,158.91,4.27,5.57,1205651.5,701546.81,225967.02,204798.95,3.68,0.021,5.69,2.33,19971118.0,47164.73,0.85,20.43,402.89,40.25,0.52,33672.0
藏格控股,48.56,8.48,15.3,0.48,5.05,11.27,18.58,1.27,农药化肥,青海,86.27,4.47,19.94,784161.06,377803.94,320510.28,107658.35,0.54,0.042,3.32,4.38,19960628.0,312036.81,1.57,20.18,190.09,68.69,32.07,25222.0
吉比特,40.1,51.32,30.39,7.82,15.29,20.97,26.48,6.21,互联网,福建,14.95,0.41,0.72,330243.59,248845.92,3095.28,104983.42,14.6,2.16,34.41,3.72,20170104.0,139646.27,19.43,0.93,-6.27,90.67,40.45,20091.0
宜华健康,36.03,36.84,30.76,1.91,4.22,6.12,7.65,4.23,医疗保健,广东,29.06,5.26,6.27,760974.88,278065.81,75024.36,74972.18,1.2,0.161,3.79,4.92,20000807.0,108372.65,1.73,41.07,112.75,42.28,17.65,13511.0
分众传媒,35.1,47.22,55.7,12.2,36.61,47.2,57.89,10.43,影视音像,广东,33.16,69.65,146.78,1570876.0,1105172.88,39982.12,18620.78,0.01,0.08199999999999999,0.79,13.84,20040804.0,1089309.88,0.74,22.28,9.1,68.94,40.8,69964.0
视源股份,33.87,54.21,59.59,5.41,13.85,24.92,27.55,4.78,元器件,广东,76.86,0.67,6.51,508650.56,413402.56,50077.3,88825.22,1.36,0.196,4.11,14.71,20170119.0,143010.75,2.2,64.32,13.94,18.25,4.81,9275.0
亿联网络,33.33,,53.73,5.56,11.87,17.42,20.55,6.43,通信设备,福建,26.63,0.75,2.99,316556.5,300949.75,11805.49,152470.25,5.1,0.657,10.21,6.86,20170317.0,130168.67,4.36,31.76,39.05,60.98,47.61,19652.0
凯瑞德,31.27,28.62,14.97,-3.01,2.77,4.76,-57.79,-9.36,互联网,山东,0.0,1.76,1.76,67810.21,46591.28,289.06,19168.22,1.09,-0.03,0.32,23.7,20061018.0,-35039.1,-1.99,90.53,-85.18,10.51,-12.29,7603.0
西藏珠峰,31.21,43.07,50.1,20.28,35.49,56.96,65.35,11.97,铅锌,西藏,16.76,1.58,6.53,400380.0,258801.34,94929.86,2236.43,0.03,0.34299999999999997,2.86,8.03,20001227.0,184702.25,2.83,-3.68,-26.85,71.12,40.32,24565.0
荣泰健康,27.1,34.06,45.79,4.59,8.86,11.88,15.81,4.12,医疗保健,上海,44.16,0.51,1.4,225986.34,170666.56,37556.62,72588.05,5.18,0.41600000000000004,10.09,7.29,20170111.0,49747.92,3.55,64.92,6.1,35.18,9.66,5679.0
移为通信,26.59,35.03,47.11,,6.16,8.26,12.59,0.73,通信设备,上海,160.78,0.97,1.6,85279.18,78486.97,434.58,43590.39,2.72,0.036000000000000004,4.84,4.75,20170111.0,14699.11,0.92,24.31,-66.88,47.66,7.68,19426.0
恒林股份,26.39,,40.72,,13.79,20.16,7.6,0.91,家居用品,浙江,50.6,0.25,1.0,261585.3,205957.86,30791.69,135395.72,13.54,0.2,21.99,1.84,20171121.0,69523.96,6.95,0.0,0.0,18.7,4.51,21494.0
富瀚微,26.0,,41.11,3.14,6.5,8.84,11.22,,半导体,上海,105.52,0.13,0.45,107990.75,88670.28,17647.96,67321.46,14.86,0.336,21.21,6.69,20170220.0,29768.59,6.57,2.38,-44.22,43.14,17.65,12395.0
温氏股份,25.94,36.89,38.7,4.6,6.57,13.52,20.69,4.07,农业综合,广东,22.01,35.73,53.14,5027672.5,1928581.75,1490500.75,484385.31,0.91,0.27,6.61,3.53,20151102.0,2133671.0,4.02,2.74,-4.4,18.41,10.71,65037.0
电魂网络,25.42,32.19,16.52,3.63,5.6,8.96,10.2,1.42,互联网,浙江,50.76,0.67,2.43,188655.06,133256.41,27596.9,83082.92,3.42,0.1,6.81,2.86,20161026.0,43015.37,1.77,-15.83,-60.09,83.58,23.21,26995.0
兆丰股份,24.57,,42.68,6.16,14.4,7.9,12.59,1.72,汽车配件,浙江,37.89,0.17,0.67,197762.66,175451.56,19615.82,99665.31,14.95,0.43,24.85,2.62,20170908.0,50650.94,7.6,7.44,-6.37,46.63,24.05,18167.0
恺英网络,24.08,14.04,20.09,5.78,11.14,24.82,33.37,4.87,互联网,福建,14.12,8.74,21.53,626918.94,321190.84,2006.92,145735.75,0.68,0.115,2.35,2.76,20101207.0,278186.63,1.29,-4.57,19.21,78.34,39.23,50844.0
科顺股份,23.93,19.42,21.02,,8.1,12.0,15.08,0.79,其他建材,广东,81.89,1.53,6.11,394629.22,319747.66,34009.51,183730.84,3.01,0.037000000000000005,4.69,2.61,20180125.0,34524.2,0.57,0.0,0.0,35.84,5.77,99643.0
倍加洁,23.73,,26.04,,14.55,,25.38,2.31,家居用品,江苏,41.54,0.2,0.8,103401.53,71590.13,12175.99,53004.3,6.63,0.28,9.94,3.85,20180302.0,17143.6,2.14,0.0,0.0,25.56,11.6,12152.0
养元饮品,23.54,,45.87,,16.71,23.93,31.48,8.05,软饮料,河北,12.59,0.6,7.53,1352756.38,1145499.88,64784.44,322262.19,4.28,1.235,15.33,4.06,20180212.0,748108.69,9.93,0.0,0.0,48.86,32.61,24013.0
银都股份,23.52,,37.61,5.77,15.74,11.8,12.65,1.97,专用机械,浙江,37.61,0.66,4.01,186435.88,149913.34,25539.97,67890.9,1.69,0.079,3.97,2.98,20170911.0,40496.01,1.01,-2.1,-20.09,46.1,11.22,30017.0
顾家家居,23.37,31.74,16.72,5.18,10.97,16.45,20.56,6.25,家居用品,浙江,27.12,0.89,4.28,649255.19,380845.09,114545.11,243680.17,5.69,0.65,10.03,6.78,20161014.0,154389.66,3.61,34.22,42.9,36.45,14.49,13878.0
牧原股份,23.34,34.53,41.01,10.72,13.17,18.63,18.57,1.05,农业综合,河南,106.15,10.74,20.85,2658833.0,969576.63,1134459.13,386489.97,1.85,0.065,6.17,4.49,20140128.0,500498.81,2.4,40.03,-80.0,13.07,4.94,23809.0
益生股份,22.93,35.7,38.2,0.22,-8.6,-13.84,-25.59,0.86,农业综合,山东,185.5,1.76,3.37,215811.72,40727.89,106992.11,102323.07,3.03,0.031,3.63,6.43,20100810.0,-19701.2,-0.58,5.89,211.87,17.66,4.78,23999.0
浙江广厦,22.77,20.91,17.46,0.93,1.49,1.85,8.16,1.77,区域地产,浙江,19.22,8.72,8.72,568865.5,395921.75,19481.4,15753.95,0.18,0.049,2.73,1.37,19970415.0,74413.46,0.85,-62.06,114.02,38.16,98.64,50982.0
道道全,22.1,,30.97,2.87,5.11,7.9,9.96,2.72,食品,湖南,21.68,1.25,2.89,236821.45,164594.77,60291.96,114628.07,3.97,0.18600000000000003,6.82,2.36,20170310.0,61925.05,2.14,27.95,4.91,14.02,6.42,23509.0
汇顶科技,22.09,35.96,31.33,6.02,15.82,22.8,25.44,0.55,元器件,深圳,417.35,2.3,4.57,431751.81,385610.22,16309.67,128492.02,2.81,0.04,7.75,9.13,20161017.0,199552.06,4.37,-21.9,-88.96,41.6,3.39,27720.0
同方股份,21.74,22.47,19.74,-1.26,-0.58,-0.88,0.48,-1.05,电脑设备,北京,0.0,29.64,29.64,6299313.5,3017375.0,363461.0,947416.81,3.2,-0.076,7.14,1.38,19970627.0,702579.06,2.37,11.36,16.77,19.12,-4.97,194383.0
同达创业,21.72,20.71,21.39,3.27,3.75,3.21,3.35,1.23,综合类,上海,122.97,1.39,1.39,54848.42,48811.45,1855.6,68.08,0.0,0.03,2.42,6.08,19930504.0,16577.3,1.19,6.07,-66.52,66.22,28.07,11666.0
淳中科技,21.19,,33.69,,19.03,,31.17,3.12,通信设备,北京,52.27,0.33,1.31,76515.38,67589.5,6839.42,50078.55,3.82,0.175,5.58,6.54,20180202.0,11959.5,0.91,0.0,0.0,77.12,32.27,19891.0
明德生物,20.86,,34.09,,16.31,,27.22,5.35,医疗保健,湖北,93.33,0.17,0.67,26720.9,17522.17,5472.52,2730.45,0.41,0.205,5.09,15.01,20180710.0,15794.85,2.37,0.0,0.0,78.1,36.02,33441.0
海澜之家,20.66,25.85,31.08,9.13,19.3,24.22,29.78,9.18,服饰,江苏,11.75,44.93,44.93,2753167.25,1969778.25,312151.66,203270.98,0.45,0.252,2.74,4.31,20001228.0,773776.13,1.72,12.16,11.97,39.9,19.55,49886.0
快克股份,20.3,28.28,16.39,4.04,9.13,13.76,18.22,3.83,专用机械,江苏,32.15,0.53,1.58,91235.74,76163.96,9171.62,40842.12,2.58,0.183,4.77,4.93,20161108.0,22590.18,1.43,31.31,8.9,53.68,28.98,9900.0
汇金科技,20.26,22.32,12.7,3.23,5.9,6.85,11.69,1.37,软件服务,广东,103.81,0.67,1.71,75740.38,71158.92,1474.99,36151.55,2.12,0.055999999999999994,4.06,5.7,20161117.0,23746.13,1.39,7.26,-52.62,56.71,18.24,12807.0
牧高笛,20.01,,24.49,5.46,10.26,11.59,11.23,4.25,纺织,浙江,22.72,0.23,0.67,64793.45,58927.51,3704.36,22928.67,3.44,0.297,6.98,3.87,20170307.0,14236.85,2.13,12.6,-18.79,28.64,12.92,10198.0
安信信托,19.65,28.86,22.11,7.55,11.42,18.42,22.65,7.09,多元金融,上海,9.75,46.73,54.69,2633875.0,0.0,882.53,401238.13,0.73,0.193,2.72,2.77,19940128.0,462059.91,0.84,-2.66,3.51,0.0,66.43,69914.0
天齐锂业,19.56,27.73,32.93,7.73,16.75,22.58,23.65,7.14,小金属,四川,21.99,11.36,11.42,1797603.25,805546.38,140202.59,420034.41,3.68,0.578,8.09,6.29,20100831.0,427641.69,3.74,56.92,62.7,73.67,39.56,132160.0
嘉友国际,19.39,,39.66,,23.57,31.85,35.94,4.05,仓储物流,北京,22.37,0.28,1.12,194053.7,170375.27,13228.95,88968.56,7.94,0.508,12.53,3.63,20180206.0,40522.5,3.62,0.0,0.0,10.91,7.54,15992.0
贝达药业,19.24,25.69,19.16,3.77,6.88,9.92,12.56,2.05,化学制药,浙江,124.2,1.7,4.01,278723.38,44777.98,44923.35,60013.25,1.5,0.107,5.2,10.19,20161107.0,96476.86,2.41,23.99,-43.36,95.54,15.03,20241.0
卫宁健康,19.19,20.72,22.17,1.05,3.69,5.38,8.82,1.46,软件服务,上海,131.99,12.02,16.18,363619.38,159426.16,36857.5,42739.4,0.26,0.03,1.71,7.74,20110818.0,74568.67,0.46,22.93,50.04,45.58,19.67,73492.0
兰生股份,18.93,21.66,21.8,0.63,1.21,2.78,8.37,0.77,商贸代理,上海,62.7,4.21,4.21,446667.69,266424.25,2368.75,13624.95,0.32,0.06,7.81,1.94,19940204.0,170450.3,4.05,27.56,8.01,4.94,3.21,24824.0
弘亚数控,18.26,32.81,21.96,7.05,14.27,20.71,25.02,6.96,专用机械,广东,24.09,0.54,1.35,119332.92,83935.7,13138.67,34838.87,2.57,0.522,7.5,6.71,20161228.0,50456.6,3.73,36.75,31.38,35.84,27.34,7850.0
平治信息,18.02,23.85,19.34,8.03,17.31,20.34,28.75,12.39,互联网,浙江,41.02,0.69,1.2,68695.06,47278.31,5067.93,5034.55,0.42,0.4,3.21,20.27,20161213.0,24412.9,2.03,12.37,118.12,43.61,20.41,5534.0
华联控股,17.56,19.0,39.9,18.32,25.71,26.25,30.47,2.33,全国地产,深圳,16.8,11.36,11.41,990527.88,768834.94,92186.6,23859.0,0.21,0.092,3.95,1.57,19940617.0,279470.09,2.45,-74.54,-86.11,71.92,23.19,68278.0
华夏幸福,17.55,19.97,25.59,5.64,14.49,16.63,23.67,5.88,区域地产,河北,8.65,29.55,29.55,37562568.0,34763192.0,278883.38,321961.81,1.09,0.74,10.1,2.65,20031230.0,2239530.75,7.58,21.48,30.33,59.98,24.11,122318.0
亚星客车,17.48,39.3,48.17,3.96,9.5,15.77,24.51,1.76,汽车整车,江苏,142.05,2.2,2.2,439027.75,408245.84,23035.47,34209.4,1.55,0.013999999999999999,0.81,10.04,19990831.0,-43186.46,-1.96,-10.09,-41.5,19.05,1.2,26590.0
同花顺,17.38,29.46,41.02,3.96,10.42,16.12,22.89,,软件服务,浙江,73.25,2.64,5.38,378538.66,331684.88,35334.31,35677.57,0.66,0.14,5.11,8.04,20091225.0,158448.97,2.95,-11.29,-26.37,84.15,31.67,47698.0
保变电气,17.29,3.44,26.38,5.22,14.15,12.28,16.21,-13.55,电气设备,河北,0.0,15.35,15.35,892774.38,608843.5,140856.19,314492.31,2.05,-0.039,0.29,14.68,20010228.0,-459420.5,-2.99,-38.53,-354.99,19.44,-10.96,132806.0
海天味业,17.2,22.19,28.39,8.88,18.21,23.66,30.04,9.28,食品,广东,40.39,26.97,27.01,1638128.38,1184683.63,354354.31,129278.05,0.48,0.445,4.8,15.0,20140211.0,763809.31,2.83,17.04,23.11,46.7,25.62,19679.0
欣天科技,17.17,22.6,27.36,2.55,4.57,4.76,6.95,0.61,元器件,深圳,258.46,0.39,1.47,51833.43,38451.12,10393.21,24576.0,1.67,0.02,3.16,6.18,20170215.0,10013.0,0.68,-30.21,-77.05,35.98,6.73,18167.0
美的集团,17.16,21.93,24.02,6.64,16.3,21.05,23.43,6.63,家用电器,广东,15.24,64.76,66.24,25256652.0,17444044.0,2223860.0,1606070.75,2.42,0.8,12.03,4.02,19931112.0,5288346.5,7.98,16.7,20.76,25.62,7.54,162344.0
安图生物,17.05,16.44,21.26,4.68,12.24,20.95,26.78,5.44,医疗保健,河南,84.27,1.37,4.2,232220.38,100780.28,73965.15,53500.46,1.27,0.22899999999999998,4.2,18.35,20160901.0,66093.46,1.57,71.87,42.43,64.65,23.1,10126.0
浙江仙通,16.98,,17.11,6.49,10.4,12.86,17.12,3.75,汽车配件,浙江,21.26,0.91,2.71,122950.97,86869.61,24005.47,30109.5,1.11,0.14300000000000002,3.81,3.19,20161230.0,40219.1,1.49,-1.2,-36.45,41.4,20.32,14985.0
台海核电,16.95,20.31,22.02,8.31,19.63,27.3,36.77,6.24,专用机械,四川,17.77,4.89,8.67,757845.88,456358.94,217710.55,74047.71,0.85,0.212,3.39,4.44,20100312.0,177158.77,2.04,7.61,13.67,62.5,39.56,35448.0
冀东装备,16.87,17.56,7.9,0.84,1.65,0.17,5.04,0.27,机械基件,河北,926.23,2.27,2.27,175842.22,129894.27,29899.5,38870.01,1.71,0.004,1.3,10.31,19980813.0,-35674.65,-1.57,-14.44,-66.9,8.92,0.23,63012.0
宣亚国际,16.68,17.5,31.01,1.68,6.31,8.05,15.65,0.67,广告包装,北京,315.73,0.45,1.62,60883.48,56721.82,827.1,25420.52,1.57,0.02,2.97,8.54,20170215.0,9720.65,0.6,-9.15,-56.79,35.36,3.66,18708.0
海利尔,16.58,20.68,21.75,4.33,10.02,12.54,17.71,5.3,农药化肥,山东,13.04,0.54,1.69,241609.59,186501.81,33807.18,73628.96,4.35,0.54,10.15,2.74,20170112.0,79520.96,4.69,44.59,47.55,37.49,16.97,12220.0
星源材质,16.48,20.77,12.6,2.73,5.75,7.32,8.42,6.59,化工原料,深圳,22.65,1.28,1.92,285259.03,155422.84,84227.5,73676.43,3.84,0.466,7.06,5.98,20161201.0,36691.85,1.91,43.24,158.13,53.02,52.09,18201.0
天邦股份,16.43,24.87,26.55,1.8,4.64,7.31,8.65,1.05,饲料,浙江,44.6,7.91,11.6,516548.19,206773.34,145837.02,137313.97,1.18,0.027999999999999997,2.64,1.88,20070403.0,86919.0,0.75,51.04,-38.97,19.04,3.82,29355.0
正邦科技,16.26,22.71,18.0,2.08,4.58,6.54,8.32,1.0,饲料,江西,38.29,21.41,23.31,1682849.63,565660.13,663669.31,193600.48,0.83,0.027999999999999997,2.74,1.55,20070817.0,207354.34,0.89,7.29,-47.84,9.54,1.3,81289.0
景旺电子,16.15,24.4,18.78,5.01,10.47,16.48,20.13,4.55,元器件,深圳,36.69,0.81,4.08,495915.59,316106.22,117136.95,104656.93,2.57,0.38299999999999995,8.41,6.68,20170106.0,186851.92,4.58,8.93,3.38,33.6,15.86,8583.0
贵广网络,15.97,,11.42,1.32,7.84,8.4,10.51,1.29,影视音像,贵州,35.54,2.98,10.43,911938.31,262141.3,344232.81,160466.45,1.54,0.053,4.08,1.84,20161226.0,143170.7,1.37,42.82,5.95,30.09,9.54,55624.0
万马科技,15.9,,20.09,,12.16,7.88,7.2,-0.45,通信设备,浙江,0.0,0.34,1.34,61047.05,49819.18,5716.66,15938.4,1.19,-0.013000000000000001,2.82,7.8,20170831.0,7448.38,0.56,0.0,0.0,26.8,-2.67,23425.0
盐津铺子,15.83,22.07,28.11,4.37,7.28,9.2,11.04,4.33,食品,湖南,40.64,0.35,1.24,103482.53,45758.75,41914.2,28964.47,2.34,0.218,5.02,7.05,20170208.0,18667.6,1.51,15.41,6.39,46.1,11.33,19448.0
冰川网络,15.79,7.95,10.43,1.96,3.43,4.5,6.4,1.21,软件服务,深圳,50.64,0.36,1.01,172402.86,168011.44,539.39,87977.78,8.69,0.19,15.34,2.44,20160818.0,50483.45,4.99,-26.93,-37.46,90.18,31.78,17225.0
伊利股份,15.74,20.29,24.52,6.98,14.78,20.41,23.9,7.72,乳制品,内蒙,20.27,60.33,60.78,4898469.0,2845808.25,1399012.13,278879.91,0.46,0.34600000000000003,4.47,6.27,19960312.0,1621002.75,2.67,24.56,21.15,38.8,10.73,254646.0
崇达技术,15.72,14.23,17.83,4.73,9.55,14.46,17.58,4.82,半导体,深圳,28.72,2.16,8.3,484013.19,230443.05,188683.27,71448.15,0.86,0.16,3.23,5.48,20161012.0,127057.11,1.53,27.78,33.94,32.62,14.6,27402.0
荣晟环保,15.69,,30.56,12.03,21.21,29.16,37.65,5.34,造纸,浙江,16.21,0.44,1.8,137888.06,78168.71,42896.05,33545.4,1.86,0.33399999999999996,6.24,3.47,20170117.0,64004.44,3.56,-10.35,-38.07,16.6,14.02,15083.0
国轩高科,15.56,20.27,26.19,4.87,10.36,14.24,10.18,1.91,电气设备,江苏,24.68,11.13,11.37,1689125.25,1041266.38,332637.97,457538.59,4.03,0.142,7.38,1.89,20061018.0,276856.22,2.44,-4.32,-20.33,32.87,15.19,68660.0
宁波韵升,15.55,16.78,17.68,1.75,3.64,6.39,8.96,0.42,电器仪表,浙江,77.93,9.88,10.03,613193.25,320964.0,92150.49,62803.73,0.63,0.02,4.65,1.34,20001030.0,325451.81,3.25,15.7,-75.16,16.98,4.56,55848.0
新疆火炬,15.54,,26.71,,7.68,10.03,8.88,2.14,供气供热,新疆,54.11,0.36,1.42,108298.72,62476.42,28736.5,48550.82,3.43,0.149,6.93,4.64,20180103.0,32856.85,2.32,0.0,0.0,39.7,21.21,24444.0
开润股份,15.32,29.49,15.7,4.87,10.73,20.92,27.34,6.58,纺织,安徽,63.09,0.64,2.18,99116.46,83278.36,9240.44,16579.42,0.76,0.16,2.41,16.59,20161221.0,23742.92,1.09,88.18,25.29,25.57,8.3,4032.0
周大生,15.26,,26.46,7.18,8.63,12.97,17.5,4.53,服饰,深圳,23.85,1.63,4.85,483146.91,402320.56,2991.51,178149.22,3.67,0.34,7.3,4.32,20170427.0,116530.36,2.4,16.91,28.74,34.92,17.12,25780.0
晨丰科技,15.19,,27.14,,14.89,21.37,12.42,2.01,电气设备,浙江,33.21,0.33,1.3,99553.55,80431.18,15024.22,59186.94,4.55,0.142,7.07,2.67,20171127.0,20827.99,1.6,0.0,0.0,22.64,10.41,13876.0
承德露露,15.17,19.26,22.78,9.06,12.56,16.75,20.69,9.86,软饮料,河北,11.6,9.78,9.79,274290.16,212934.25,25763.47,1730.84,0.02,0.223,2.27,4.58,19971113.0,86276.65,0.88,13.19,10.99,52.94,24.41,46381.0
世运电路,15.15,,28.86,5.13,4.35,6.82,7.71,1.04,元器件,广东,53.01,1.28,4.02,313748.72,224707.16,70022.03,131502.31,3.27,0.062,5.89,2.22,20170426.0,56782.65,1.41,18.9,-49.96,21.15,5.3,33995.0
健帆生物,15.12,12.42,17.07,4.79,11.89,15.55,20.44,6.06,医疗保健,广东,52.91,1.07,4.18,180242.13,132818.38,32312.21,53306.63,1.28,0.215,3.55,12.83,20160802.0,57159.36,1.37,39.6,50.89,84.65,43.56,20409.0
联美控股,15.0,14.28,28.17,15.4,6.64,6.88,12.97,7.72,供气供热,辽宁,7.83,8.22,17.6,1080938.25,600753.44,266960.16,371897.41,2.11,0.33799999999999997,4.37,2.42,19990128.0,291668.91,1.66,14.95,31.71,59.68,49.46,7082.0
民和股份,14.98,22.18,14.92,-7.94,-21.52,-39.06,-39.26,-2.15,农业综合,山东,0.0,2.06,3.02,229568.16,60338.17,125434.01,86187.93,2.85,-0.052000000000000005,2.4,6.06,20080516.0,-55811.25,-1.85,33.13,79.39,11.9,-5.32,30386.0
长安汽车,14.92,19.82,23.6,5.22,10.24,12.53,14.99,2.84,汽车整车,重庆,7.06,37.61,48.03,10716579.0,6202373.0,1877864.75,509940.59,1.06,0.29,10.2,0.8,19970610.0,3657586.75,7.62,13.26,-42.04,12.0,6.96,168000.0
信立泰,14.91,20.78,26.05,6.56,13.63,19.13,23.98,6.42,化学制药,深圳,22.47,10.46,10.46,716900.63,380959.28,117722.05,16109.25,0.15,0.397,6.18,5.77,20090910.0,474029.75,4.53,15.86,10.33,81.25,36.87,36089.0
英维克,14.87,,12.0,2.22,6.48,8.98,12.7,0.42,专用机械,深圳,306.96,0.68,2.15,121375.85,111752.92,1440.77,26457.65,1.23,0.01,3.31,4.96,20161229.0,25877.93,1.2,15.11,-78.9,34.67,2.1,18100.0
长久物流,14.85,13.36,19.65,2.4,7.34,11.52,18.34,2.93,仓储物流,北京,32.15,0.8,5.6,456558.59,297648.75,79534.25,54715.63,0.98,0.11599999999999999,3.95,3.78,20160810.0,106693.92,1.91,3.12,43.05,10.84,5.36,18261.0
三聚环保,14.82,20.74,25.75,6.38,16.28,24.17,28.86,6.31,环境保护,北京,19.56,18.01,23.51,2561658.0,2155841.75,258871.0,170050.09,0.72,0.253,4.0,4.94,20100427.0,573271.06,2.44,-20.38,35.94,25.71,13.5,55111.0
科森科技,14.79,23.06,31.15,1.3,3.7,7.34,12.65,2.86,专用机械,江苏,29.36,1.58,4.16,340173.06,159643.34,128482.36,82936.71,2.0,0.125,4.35,3.36,20170209.0,62875.56,1.51,45.58,156.14,29.95,11.56,17405.0
桂冠电力,14.68,18.79,19.69,2.37,5.65,12.97,16.86,4.13,水力发电,广西,13.74,36.04,60.63,3992631.5,274786.19,3315631.5,213154.8,0.35,0.106,2.56,2.27,20000323.0,609868.94,1.01,21.36,100.58,57.81,29.34,71177.0
天能重工,14.66,19.31,10.63,1.97,3.1,4.24,5.7,1.1,专用机械,山东,29.79,1.05,1.5,315312.34,227896.92,52726.88,90081.38,6.0,0.125,11.32,1.32,20161125.0,59320.2,3.95,-20.19,-42.25,34.42,13.93,15579.0
爱柯迪,14.65,,26.1,,11.87,17.35,13.2,3.22,汽车配件,浙江,20.72,1.38,8.45,463461.34,292845.28,116232.45,175011.48,2.07,0.139,4.3,2.67,20171117.0,91541.36,1.08,0.0,0.0,39.22,18.33,54000.0
印纪传媒,14.55,20.57,32.06,4.68,11.01,16.28,26.38,3.93,影视音像,四川,19.89,9.69,17.7,460230.84,415766.66,1435.75,-1626.99,-0.01,0.067,1.69,3.13,20070720.0,286384.03,1.62,0.01,5.87,55.02,37.12,20592.0
欧普康视,14.53,30.59,36.61,3.84,8.25,14.77,18.74,4.2,医疗保健,安徽,60.72,1.37,2.24,99478.95,82350.47,3541.21,45984.55,2.06,0.159,3.78,10.22,20170117.0,26412.85,1.18,33.25,32.08,74.73,46.12,9142.0
华菱精工,14.51,,22.35,,10.42,,17.92,1.72,机械基件,安徽,62.84,0.33,1.33,79343.9,57474.11,17002.1,31154.75,2.34,0.085,4.92,4.34,20180124.0,19977.9,1.5,0.0,0.0,17.48,7.43,21997.0
洋河股份,14.47,19.3,22.36,9.52,14.58,19.6,22.45,10.54,白酒,江苏,14.51,12.42,15.07,4436392.0,2901970.0,815032.25,74170.4,0.49,2.306,21.88,6.12,20091106.0,2998708.5,19.9,25.68,26.69,74.79,36.44,26637.0
双汇发展,14.45,25.09,31.01,5.82,15.62,23.45,29.54,6.78,食品,河南,20.46,32.99,33.0,2348893.5,1059201.63,1130339.38,189638.56,0.57,0.322,4.76,5.55,19981210.0,866586.19,2.63,-1.78,21.09,19.72,8.87,50285.0
科创新源,14.41,,28.06,,16.15,21.12,13.2,2.8,橡胶,深圳,57.72,0.22,0.87,55628.5,51590.01,1748.25,32139.59,3.68,0.161,5.74,6.48,20171208.0,7870.27,0.9,0.0,0.0,42.3,22.11,14314.0
格力电器,14.25,22.57,28.62,6.93,18.01,26.37,34.15,7.87,家用电器,广东,12.34,59.7,60.16,21836466.0,17153882.0,1748815.38,10388.05,0.02,0.9279999999999999,11.79,3.88,19961118.0,6132170.0,10.19,33.29,39.04,30.86,14.11,435187.0
天赐材料,14.24,21.25,24.35,3.78,10.14,11.36,12.0,14.54,化工原料,广东,7.78,1.79,3.4,416979.31,243847.47,80558.32,107275.47,3.16,1.2109999999999999,8.33,4.52,20140123.0,135901.66,4.0,14.95,543.43,24.98,94.35,34073.0
上海石化,14.13,17.99,24.06,7.22,10.44,15.63,21.73,5.88,石油加工,上海,8.16,73.29,108.24,4226963.0,2267076.75,1252129.88,61477.0,0.06,0.16399999999999998,2.78,1.92,19931108.0,1288230.75,1.19,14.12,-8.16,23.25,6.88,100401.0
乐心医疗,14.13,,15.9,1.9,-3.09,-0.57,3.48,0.6,医疗保健,广东,245.33,0.84,1.89,78077.31,49793.53,13811.13,12188.0,0.65,0.017,2.73,5.98,20161116.0,17569.24,0.93,-16.36,-68.08,25.27,2.18,22060.0
阿科力,14.07,,17.85,,8.73,13.66,9.61,1.61,化工原料,江苏,116.81,0.22,0.87,67133.03,34316.78,16041.5,24580.75,2.84,0.098,6.1,7.53,20171025.0,17743.5,2.05,0.0,0.0,22.3,9.18,13429.0
乐山电力,14.05,19.6,17.31,2.36,4.72,7.72,3.36,1.27,水力发电,四川,39.58,5.38,5.38,303693.19,47216.53,142070.8,138347.98,2.57,0.031,2.4,2.03,19930426.0,-73247.93,-1.36,6.2,-44.03,21.44,3.2,32307.0
新疆天业,14.0,10.47,12.64,3.9,8.28,11.84,12.42,3.5,化工原料,新疆,9.9,8.32,9.73,916152.5,268198.41,538017.0,132863.88,1.37,0.162,4.62,1.39,19970617.0,194196.23,2.0,17.22,0.35,30.75,13.91,55230.0
多伦科技,13.97,18.81,22.63,1.43,4.96,6.25,7.47,2.69,软件服务,江苏,33.34,1.88,6.27,201549.05,171447.13,15167.05,16540.1,0.26,0.06,2.26,3.55,20160503.0,49171.03,0.78,19.42,89.48,64.31,27.21,35315.0
江山欧派,13.96,,24.62,2.13,6.48,9.4,13.82,0.94,家居用品,浙江,56.73,0.31,0.81,157613.73,99373.9,19462.81,51759.05,6.4,0.11699999999999999,12.43,2.14,20170210.0,35595.48,4.4,10.3,-51.02,27.78,4.77,6764.0
德新交运,13.92,16.79,12.04,0.77,2.87,4.97,6.24,0.03,公路,新疆,3561.34,0.78,1.6,49300.98,41098.03,4282.56,14393.22,0.9,0.001,2.71,5.21,20170105.0,12915.07,0.81,-33.49,-95.2,30.36,0.49,5832.0
