code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
SSD,Simpson Manufacturing Co,57.89,57.82,307728,1.274385,24.39925,2.963595,2.369745
SSG,ProShares UltraShort Semiconduct,20.09,18.8966,71236,3.024498,0,0,-0.81718
SSI,Stage Stores Inc,1.67,1.69,91432,0.745253,0,0.161341,-2.175711
SSL,南非萨索尔,31.59,31.66,221589,0.565598,30.447401,1.158027,1.039826
SSNC,SS&C Technologies Holdings,47.69,47.47,1664283,0.87766,43.271499,2.688352,1.097027
SSO,标普500两倍做多ETF,110.23,111.78,2105590,0.863082,9.586621,0,11.66
SSP,E.W. Scripps Co Cl A,17.29,17.49,570787,0.680338,0,1.572065,-0.495074
SSRM,SSR Mining Inc,10.98,11.1,777397,0.885027,0,1.369124,0
SSTI,Shotspotter Inc,29.77,32.65,621733,1.615577,101.980895,21.403028,0.320158
SSTK,Shutterstock Inc,38.29,39.01,254186,1.034764,34.432598,3.800199,1.132938
SSW,塞斯潘,9.36,9.41,365955,0.707241,7.008711,0.794714,1.342615
SSYS,Stratasys,21.59,22.4,548953,0.941854,0,1.070461,-0.70506
ST,Sensata Technologies Holding,46.92,47.19,582986,0.680413,17.848727,3.17407,2.643886
STAA,STAAR Surgical Company,40.87,40.43,484000,0.98072,483.867128,34.780845,0.083556
STAG,STAG Industrial,26.01,26.4,2890618,2.095862,44.502659,2.025748,0.593223
STAR,iStar Financial Inc.,10.46,10.55,2081612,2.185237,20.939686,0.70074,0.503828
STAY,Extended Stay America Inc,18.13,18.26,1247466,0.919414,17.229065,2.664653,1.059837
STBA,S&T Bancorp,41.13,41.58,141704,1.943515,16.54492,1.582522,2.513158
STBZ,State Bank Financial Corporation,24.89,24.85,244522,0.960524,16.321731,1.423329,1.52251
STC,Stewart Information Services Cor,41.11,41.49,127545,1.1508,19.097339,1.468311,2.172554
STE,思泰瑞医疗,117.76,118.37,707203,1.426267,33.200088,3.244252,3.565352
STI,太阳信托银行,62.66,62.66,2783448,0.955336,10.673304,1.299528,5.870722
STIM,Neuronetics Inc.,17.52,18.1,257527,1.419351,0,-1.548173,-97.495644
STIP,iShares Barclays 0-5 Year TIPS B,98.34,98.35,110227,0.428537,0,0,0
STK,Columbia Seligman Premium Tech,18.75,18.75,73292,0.850685,0,0,0
STKL,SunOpta,4.61,4.38,829704,1.367984,0,1.060602,-0.62
STL,Sterling Bancorp,18.36,18.64,2580862,1.093749,16.99784,1.016346,1.09661
STLD,Steel Dynamics,39.71,39.69,1311137,0.805806,7.242737,2.310158,5.479973
STM,意法半导体,13.81,14.03,5357132,0.989047,21.493845,2.134886,0.652745
STML,Stemline Therapeutics Inc.,11.33,11.39,391378,1.102977,0,4.058734,-2.962334
STMP,Stamps.com Inc,156.64,153.57,484357,1.159611,15.045595,4.566139,10.206974
STNE,StoneCo,24.64,25.31,1486678,0.919536,0,0,0
STNG,Scorpio Tankers,1.78,1.78,8346872,1.31557,0,0.519331,-0.613526
STON,StoneMor Partners L.P.,3.95,3.8,51438,1.014476,0,1.52388,-1.959945
STOR,STORE Capital,28.99,29.35,1608061,0.841971,31.737861,1.74818,0.924763
STRA,Strayer Education,136.17,134.18,298905,1.273469,100.997175,12.655656,1.328552
STRL,Sterling Construction Company In,13.05,13.41,138930,0.778889,16.902346,2.370865,0.793381
STRS,Stratus Properties,27.55,27,59674,2.182232,46.381311,1.76477,0.582131
STT,道富银行,71.25,71.65,1983187,1.201419,11.281551,1.303284,6.351077
STWD,Starwood Property Trust Inc,21.9,22.23,2575886,1.471735,14.963128,1.335709,1.485652
STX,希捷科技,43.36,43.3,4290871,1.073179,10.550255,7.487413,4.104166
STZ,Constellation Brands Inc,196.38,196.53,2436307,1.26469,11.417086,3.304275,17.213675
SU,森科能源,33.69,33.2,4311255,0.89171,184.444437,1.605809,0.18
SUB,iShares S&P Short Term National,104.59,104.55,156758,1.266332,0,0,0
SUI,Sun Communities Inc,100.65,102.55,269727,0.917547,79.261352,2.783993,1.293821
SUM,Summit Materials Inc,14.2,14.2,2019695,0.735138,14.431701,1.251641,0.983945
SUN,太阳石油,27.99,27.5,411929,1.039089,0,2.476909,-0.0404
SUP,Superior Industries International,8.39,8.12,379816,0.508723,0,0.550004,-0.562965
SUPN,Supernus Pharmaceuticals,42.84,43.93,558681,1.244435,26.10316,5.874066,1.682938
SUPV,Grupo Supervielle S.A.,8.29,8.87,1557988,2.431549,6.287258,0.213488,1.41079
SURF,Surface Oncology,7.9,8.13,493606,1.999112,0,1.840798,-4.240351
SUSA,iShares MSCI USA ESG Select ETF,112.27,113.17,94511,2.444457,16.840774,0,6.72
SVM,希尔威,1.95,2.02,1347982,1.590245,0,1.161581,-0.61
SVMK,SVMK Inc.,12.37,14.15,1496033,1.379851,0,0,0
SVRA,Savara Inc,9.4,9.39,167532,1.580338,0,3.984273,-0.461422
SVXY,0.5倍做空波动率指数短期期货ETF,48.33,49.93,2828841,0.897468,0,0,0
SWCH,Switch Inc.,7.92,8.73,2466735,0.792339,0,3.394392,-2.021857
SWI,SolarWinds Corp,15.01,15.11,483533,0.555323,0,0,0
SWIR,Sierra Wireless,16.29,16.43,306597,0.874534,34.957447,1.342229,0.47
SWK,美国史丹利公司,128.25,130.19,1345231,0.882571,19.46705,2.679122,6.687711
SWKS,思佳讯,72.3,72.95,2481861,0.67514,14.559076,3.197899,5.01062
SWM,Schweitzer-Mauduit International,31.22,30.96,237422,0.970732,21.299811,1.755298,1.453534
SWN,美国西南能源,5.46,5.39,22166656,0.788292,5.825748,1.41128,0.925203
SWP,"Stanley Black & Decker, Inc.",98.73,97.507,101921,2.11174,14.701206,0,6.632585
SWX,Southwest Gas Corp,84.58,84.43,176303,0.964867,19.714945,2.146057,4.282538
SWZ,瑞士赫尔维蒂基金,7.49,7.38,91558,0.790964,0,0.841918,-0.465048
SXC,SunCoke Energy,10.45,10.64,688357,1.776093,4.322899,1.498963,2.461311
SXE,史丹利,0.5337,0.515,73481,0.565203,0,0.090105,-0.89155
SXI,Standex International Corp,80.18,80.63,198070,1.774376,27.970713,2.294155,2.882658
SXT,Sensient Technologies Corp,66.14,66.11,739508,1.562467,20.379237,3.302943,3.243988
SYBX,"Synlogic, Inc.",8.66,9.56,159928,0.990281,4.673941,1.681094,2.045383
SYF,Synchrony Financial,26.35,25.91,9307176,1.389869,8.165954,1.330547,3.17293
SYK,史赛克,167.87,172.16,1747776,1.296606,52.120011,6.533477,3.303146
SYKE,赛科斯企业,27.98,28.33,625536,2.398774,52.346541,1.494247,0.541201
SYMC,赛门铁克,23.14,23.09,5147856,0.570576,11.751647,2.489854,1.964831
SYN,Synthetic Biologics Inc,0.777,0.7996,139121,0.774719,0,-0.888511,-5.97338
SYNA,Synaptics Incorporated,36.17,37.25,558907,0.696345,0,1.781624,-3.628654
SYNH,"Syneos Health, Inc.",49.27,50,602158,1.292565,0,1.822937,-2.406538
SYNL,Synalloy Corporation,16.34,16.91,394254,4.064055,20.340043,1.521566,0.831365
SYRS,Syros Pharmaceuticals Inc.,7.83,8.16,104624,1.142066,0,2.526122,-2.014891
SYX,Systemax Inc,28.72,28.41,64945,0.91989,13.541791,5.35539,2.09795
SYY,西思科公司,66.35,66.39,5856985,1.71475,24.264712,13.789052,2.736072
T,美国电话电报,30.07,30.29,28928311,0.959726,5.713995,1.197774,5.30102
TA,TravelCenters of America,4.17,4.31,57972,0.600138,0,0.326544,-0.048497
TACO,Del Taco Restaurants Inc,11.15,11.31,403628,0.560998,8.990912,1.023378,1.257937
TACT,TransAct Technologies Incorporat,11.86,11.33,61560,1.569519,25.645204,3.379158,0.441798
TAHO,Tahoe Resources Inc,3.39,3.29,6604098,0.485844,7.833334,0.388947,0.42
TAL,好未来,28.75,28.36,4433219,0.969432,61.914367,8.665,0.458052
