306,"HPQ,"
307,"KMI,"
308,"MFC,"
309,"HCA,"
310,"APC,"
311,"EEM,"
312,"SHW,"
313,"DAL,"
314,"BCE,"
315,"ADI,"
316,"IWD,"
317,"CAJ,"
318,"CHA,"
319,"SCCO,"
320,"STT,"
321,"REGN,"
322,"FIS,"
323,"PGR,"
324,"WM,"
325,"SYY,"
326,"KMB,"
327,"APD,"
328,"PLD,"
329,"AFL,"
330,"NTR,"
331,"NTES,"
332,"VUG,"
333,"MPC,"
334,"AON,"
335,"TRV,"
336,"ETN,"
337,"TEL,"
338,"EQIX,"
339,"NOK,"
340,"AEP,"
341,"ITUB,"
342,"AMTD,"
343,"MCO,"
344,"SNN,"
345,"BMLP,"
346,"MT,"
347,"ALL,"
348,"LQD,"
349,"ROST,"
350,"SPOT,"
351,"EW,"
352,"VFC,"
353,"TWTR,"
354,"SIRI,"
355,"MNST,"
356,"STI,"
357,"PXD,"
358,"JCI,"
359,"FMS,"
360,"NOW,"
361,"FISV,"
362,"SRE,"
363,"CRH,"
364,"CHU,"
365,"LUV,"
366,"MCK,"
367,"SLMBP,"
368,"WPXP,"
369,"TROW,"
370,"ADSK,"
371,"FCAU,"
372,"DCUD,"
373,"HBANO,"
374,"LUX,"
375,"TRI,"
376,"BT,"
377,"OKE,"
378,"LRCX,"
379,"ROP,"
380,"ALXN,"
381,"HBANN,"
382,"ALGN,"
383,"CHT,"
384,"MPLX,"
385,"EBAYL,"
386,"FTV,"
387,"IBKR,"
388,"CP,"
389,"WY,"
390,"APH,"
391,"PEG,"
392,"IMO,"
393,"DG,"
394,"WDAY,"
395,"CBS,"
396,"RACE,"
397,"SOJA,"
398,"PPG,"
399,"YUM,"
400,"ADM,"
401,"SYF,"
402,"LBTYB,"
403,"KR,"
404,"DFS,"
405,"GIS,"
406,"TLK,"
407,"IQ,"
408,"HLT,"
409,"APTV,"
410,"MTB,"
411,"BBD,"
412,"WP,"
413,"PAYX,"
414,"SOJB,"
415,"RHT,"
416,"PKX,"
417,"CLR,"
418,"SLF,"
419,"TSN,"
420,"SOJC,"
421,"BHI,"
422,"TIP,"
423,"TEVA,"
424,"CTRP,"
425,"RCI,"
426,"BCR,"
427,"NTRS,"
428,"LBTYA,"
429,"BF.B,"
430,"BF.A,"
431,"WDC,"
432,"FCX,"
433,"GLW,"
434,"RCL,"
435,"AVB,"
436,"ED,"
437,"ORLY,"
438,"ERIC,"
439,"K,"
440,"HPE,"
441,"EQR,"
442,"VB,"
443,"LBTYK,"
444,"SQ,"
445,"DXC,"
446,"CNCO,"
447,"VEU,"
448,"RSG,"
449,"PZE,"
450,"WMB,"
451,"MCHP,"
452,"DVN,"
453,"DB,"
454,"VO,"
455,"ZBH,"
456,"SSL,"
457,"ETP,"
458,"IR,"
459,"CMI,"
460,"MGA,"
461,"XEL,"
462,"DLR,"
463,"CNC,"
464,"PCG,"
465,"COL,"
466,"DPS,"
467,"WB,"
468,"S,"
469,"WELL,"
470,"XLK,"
471,"IP,"
472,"PCAR,"
473,"Q,"
474,"CBS.A,"
475,"KEY,"
476,"WIT,"
477,"IQV,"
478,"TS,"
479,"MDY,"
480,"BBY,"
481,"DISCB,"
482,"IVW,"
483,"AMP,"
