AAPL
AMZN
GOOGL
GOOG
MSFT
FB
HSEA
BSMX
BABA
BRK.A
BRK.B
DEO
JPM
XOM
JNJ
FMX
BAC
V
RDS.B
RDS.A
HDB
WFC
ENIC
WMT
INTC
UNH
CVX
BBL
LYG
FFEU
HD
FIYY
PFE
TM
MA
VZ
CSCO
TSM
BA
NVS
PG
T
BUD
NGG
HSBC
KO
AVAL
CHL
ORCL
NFLX
EOCC
C
UN
MRK
UL
TI
HSEB
DIS
DWDP
CMCSA
TBB
PEP
NVDA
TOT
BP
SHPG
SAP
BJJN
ABBV
RYAAY
PTR
E
BHP
IBM
MCD
PM
NKE
BALB
AMGN
JJEB
ADBE
JJTB
CCV
JJUB
MDT
MMM
JJMB
JJGB
GE
JJAB
UNP
RY
SNP
JJCB
TXN
JJPB
JJSB
COWB
ABT
MO
HON
TD
WPPGY
SGGB
BJO
VZA
IX
SNY
ACN
DCM
ISF
BKNG
PGMB
ISG
PYPL
GSK
UPS
UTX
RIO
CRM
LFC
VTI
AVGO
LLY
NVO
RAI
COST
GILD
SLB
FOXA
BMY
BIDU
FOX
MTU
STO
AZN
SAN
ASML
EQNR
MS
QCOM
LMT
GS
TMO
BLK
TMUSP
USB
CAT
AXP
LOW
COP
VXXB
NEE
TWX
KHC
AABA
ABEV
TTM
EFA
MUFG
SCHW
CVS
WBK
CEO
CHTR
SBUX
BNS
DHR
EOG
DVMT
VALE
WBA
VOD
MU
SU
PNC
FDX
SYK
OXY
SNE
BDX
AMT
LVS
ANTM
VWO
BIIB
AET
PUK
VMW
ADP
MDLZ
EPD
PBR
TJX
BSBR
CNI
AGN
UBS
CB
JD
ATVI
GM
CELG
IRDMB
BK
CME
ING
CSX
TSLA
IBN
MON
CL
AMX
GD
EL
RTN
AMOV
SMFG
AGG
ISRG
NOC
HMC
DUK
AED
ENB
SPG
AEH
AEK
INTU
PSX
PBR.A
TMUS
SPGI
AEB
BMO
VEDL
AIG
VLO
AMAT
BTI
IJH
ITW
ABB
F
IEMG
MAR
MET
BBVA
DE
COF
CTSH
SO
CCL
PX
STZ
CIB
BSX
ORAN
ESRX
TEF
RELX
EMR
BCS
D
LYB
STZ.B
ICE
RENX
EA
MFG
CCI
NSC
IWF
SYT
VXZB
IJR
CI
ENBA
BBDO
ZTS
ILMN
MMC
RBS
HUM
CNQ
EC
INFY
PRU
VRTX
TGT
HAL
DYNC
BBT
ECL
EXC
BAX
WPZ
NXPI
BAM
CM
PHG
PSA
CS
BX
TRP
EBAY
HPQ
KMI
MFC
HCA
APC
EEM
SHW
DAL
BCE
ADI
IWD
CAJ
CHA
SCCO
STT
REGN
FIS
PGR
WM
SYY
KMB
APD
PLD
AFL
NTR
NTES
VUG
MPC
AON
TRV
ETN
TEL
EQIX
NOK
AEP
ITUB
AMTD
MCO
SNN
BMLP
MT
ALL
LQD
ROST
SPOT
EW
VFC
TWTR
SIRI
MNST
STI
PXD
JCI
FMS
NOW
FISV
SRE
CRH
CHU
LUV
MCK
SLMBP
WPXP
TROW
ADSK
FCAU
DCUD
HBANO
LUX
TRI
BT
OKE
LRCX
ROP
ALXN
HBANN
ALGN
CHT
MPLX
EBAYL
FTV
IBKR
CP
WY
APH
PEG
IMO
DG
WDAY
CBS
RACE
SOJA
PPG
YUM
ADM
SYF
LBTYB
KR
DFS
GIS
TLK
IQ
HLT
APTV
MTB
BBD
WP
PAYX
SOJB
RHT
PKX
CLR
SLF
TSN
SOJC
BHI
TIP
TEVA
CTRP
RCI
BCR
NTRS
LBTYA
BF.B
BF.A
WDC
FCX
GLW
RCL
AVB
ED
ORLY
ERIC
K
HPE
EQR
VB
LBTYK
SQ
DXC
CNCO
VEU
RSG
PZE
WMB
MCHP
DVN
DB
VO
ZBH
SSL
ETP
IR
CMI
MGA
XEL
DLR
CNC
PCG
COL
DPS
WB
S
WELL
XLK
IP
PCAR
Q
CBS.A
KEY
WIT
IQV
TS
MDY
BBY
DISCB
IVW
AMP
ROK
NUE
TU
STM
PH
RF
SWK
DLTR
KYO
FITB
ABC
IWB
INFO
WLTW
ANDV
UAL
FITBI
ANET
NTAP
A
FDC
WCN
CTAS
EIX
CTL
KEP
CFG
KKR
EWJ
NEM
HES
VTR
CERN
GGP
MYL
PPL
WEC
TAL
LVLT
IDXX
DISCA
FLT
BXP
HCN
CCE
AAL
LH
PANW
HRL
MSI
CXO
ABMD
HSY
KB
SBAC
ETE
EXPE
HIG
MRO
AZO
GPN
DTE
AEUA
DISCK
CQP
GIB
SWKS
TDG
DUKH
BEN
VRSK
CEA
PAA
NBL
WYNN
BAP
BMRN
GWW
PBA
VMC
POT
VGK
OMC
ETFC
TXT
SHOP
APA
CAH
PCO
HRS
LULU
DVY
HBAN
XLNX
AME
MXIM
MGM
FE
STX
CLX
LEN
KLAC
TIF
CBRE
MJN
NMR
CMA
SIVB
LNG
SWP
DISH
NOV
FRC
IVE
ZNH
PFG
CHKP
TSO
AGR
MMP
TSS
AGU
HST
EDU
MHK
L
CBG
INCY
NDAQ
DRUA
LSXMK
ESS
LSXMA
YUMC
MKL
CE
LSXMB
RMD
BCH
DHI
MSCI
AMD
O
SNAP
SEP
SPLK
DGX
EFX
SKM
LLL
ABX
WAT
CAG
QSR
TAP.A
RSP
ULTA
ANSS
CSGP
FNGD
BSAC
FTI
TECK
CA
TAP
WRK
AWK
MTD
MLCO
HNP
ANTX
EMN
FAST
ETR
CNHI
XL
CTXS
KMX
VIA
MLM
LNC
AEE
EQT
ZTO
ITOT
JBHT
VNO
BDXA
MKC.V
LBRDK
WLK
RJF
KORS
LBRDA
MKC
CPRT
XLY
SHY
AKAM
BR
GPC
MBLY
BHGE
TPR
LEN.B
DRI
VRSN
WFM
VIV
FTS
TTWO
DBX
ATHM
IAC
VBR
TRU
ADS
SNPS
XPO
CMG
ALV
FNV
URI
LEA
ODFL
GPS
EXPD
SYMC
MELI
DVA
CMS
AEG
TFX
ARE
NWL
