序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
1,00439,光启科学,0.9,32.35,0.22,2.19,1.35亿,83.33,0.68,0.66,0.97,0.63,0,74.55,737,9.78,-153
2,02312,中国金融租赁,0.45,28.57,0.1,7.33,9820.09万,--,0.35,0.35,0.45,0.345,0,-45.37,-37.66,-34.15,-34.87
3,00859,中昌国际控股,0.89,27.14,0.19,10.77,1.21亿,46.84,0.7,0.77,1.08,0.71,37.05,70.3,33.42,514,0
4,01195,京维集团,0.12,22.11,0.02,0.25,732.84万,--,0.095,0.098,0.125,0.098,0,-91.5,-49.02,18.67,0
5,01620,加达控股,0.32,20.75,0.06,1.42,1700.00万,32.00,0.265,0.265,0.335,0.265,0,0,0,0,0
6,01227,国盛投资,0.01,16.67,0.0,1.06,3811.00万,--,0.012,0.011000000000000001,0.016,0.011000000000000001,0,-124,-114,-313,-113
7,00264,中玺国际,1.47,16.67,0.21,1.06,370.40万,--,1.26,1.48,1.51,1.46,0,-16.68,-26.23,-25.23,0
8,00702,中国油气控股,0.03,15.38,0.0,0.37,1.04亿,--,0.026000000000000002,0.024,0.033,0.023,0,165,55.29,-461,9.96
9,02700,格林国际控股,0.15,14.81,0.02,0.09,204.00万,--,0.135,0.14,0.158,0.14,0,-327,-137,-206,-98.06
10,00333,黛丽斯国际,1.64,13.89,0.2,0.08,16.60万,8.89,1.44,1.56,1.65,1.56,0,8.45,39.94,42.13,45.87
11,01175,鲜驰达控股,0.3,13.21,0.04,1.85,3048.00万,44.46,0.265,0.27,0.3,0.265,14.73,49.39,71.57,57.77,0
12,00295,江山控股,0.17,12.93,0.02,0.0,65.00万,17.31,0.147,0.16899999999999998,0.16899999999999998,0.16399999999999998,0,125,64.89,-83.42,28.48
13,01192,泰山石化,0.04,12.82,0.01,0.13,635.33万,--,0.039,0.038,0.044000000000000004,0.037000000000000005,0,-259,1895,-243,3778
14,01587,欣融国际,0.72,12.5,0.08,4.82,3275.80万,15.00,0.64,0.63,0.73,0.61,0,0,0,0,0
15,00647,JoyceBoutique,0.28,12.24,0.03,0.03,51.60万,--,0.245,0.24100000000000002,0.275,0.24,-58.49,-38.84,-78.86,44.04,0
16,00540,迅捷环球控股,0.58,11.54,0.06,0.06,38.40万,10.21,0.52,0.53,0.58,0.53,0,50.54,46.92,39.97,41
17,01143,华夏健康产业,0.08,11.43,0.01,0.02,118.40万,--,0.07,0.07,0.078,0.07,0,-108,-71.67,-26.96,-20.14
18,00430,东方网库,0.13,11.21,0.01,0.0,2000,1.73,0.11599999999999999,0.129,0.129,0.129,0,202,63.38,-20.49,127
19,01396,毅德国际,0.41,10.67,0.04,0.02,62.40万,5.67,0.375,0.365,0.42,0.365,0,987,932,1346,0
20,00810,中国互联网投资,0.18,9.64,0.02,0.59,321.79万,--,0.166,0.18,0.19,0.174,0,-43.47,-66,-48.05,-85.77
21,01561,万辉化工,2.19,9.5,0.19,0.06,34.80万,219.00,2.0,2.0,2.2,2.0,0,3.16,47.84,51.8,0
22,00379,恒嘉融资租赁,0.05,9.09,0.0,0.02,199.00万,--,0.044000000000000004,0.046,0.048,0.046,0,-29.63,96.84,-106000,50.55
