code,name,pe,2018_profit,2017_profit,,2016_profit,,2015_profit,,2014_profit
3778,中国织材控股,45.385,0,56.86,97.02%,28.86,81.97%,15.86,-130.00%,-52.86
2320,合丰集团,14.792,0,172,95.54%,87.96,107.36%,42.42,-89.23%,394
3998,波司登,27.619,923,660,95.27%,338,69.85%,199,#DIV/0!,0
866,中国秦发,-0.139,0,5065,,320,,-7689,,-642
1488,百福控股,108.333,0,46.48,95.21%,23.81,53.41%,15.52,-53.85%,33.63
119,保利置业集团,-4.057,0,4889,,2233,,-1236,,3311
1728,正通汽车,14.311,0,2426,94.39%,1248,-7.62%,1351,-17.07%,1629
517,中远海运国际,13.105,0,219,93.81%,113,-42.05%,195,-20.73%,246
1638,佳兆业集团,3.737,0,6387,93.37%,3303,44.61%,2284,3.02%,2217
3383,雅居乐集团,17.808,0,16598,92.98%,8601,12.64%,7636,-27.21%,10491
719,山东新华制药股份,17.248,0,282,91.84%,147,59.66%,92.07,1.63%,90.59
3308,金鹰商贸集团,13.464,0,1833,90.34%,963,-36.14%,1508,13.98%,1323
163,英皇国际,-3.462,3835,4648,,-1851,,1626,,0
1232,金轮天地控股,80,0,859,90.04%,452,493.57%,76.15,-81.74%,417
921,海信科龙,14.597,0,2010,88.73%,1065,239.17%,314,-51.84%,652
2314,理文造纸,10.783,0,6323,88.52%,3354,21.96%,2750,24.49%,2209
1001,沪港联合,6.545,-90.68,401,88.26%,213,-38.79%,348,#DIV/0!,0
1266,西王特钢,16.634,0,1432,87.68%,763,169.61%,283,-61.76%,740
194,廖创兴企业,10.231,0,970,86.90%,519,10.19%,471,-86.27%,3431
3958,东方证券,0,0,4389,,2813,,0,,0
6869,长飞光纤光缆,31.515,0,1447,84.80%,783,15.66%,677,22.20%,554
588,北京北辰实业股份,9.481,0,3425,84.64%,1855,7.23%,1730,-9.14%,1904
3989,首创环境,71.667,0,348,84.13%,189,501.15%,31.44,-154.73%,-57.45
190,香港建设（控股）,9.275,0,1674,83.35%,913,-383.54%,-322,-221.05%,266
522,ASM PACIFIC,27.181,0,3274,82.60%,1793,31.55%,1363,-32.79%,2028
2608,阳光１００中国,8.654,0,1227,82.05%,674,-30.23%,966,-26.37%,1312
1829,中国机械工程,6.38,0,2848,81.75%,1567,-0.63%,1577,-23.85%,2071
993,华融金控,6.951,0,1264,81.35%,697,1328.86%,48.78,#DIV/0!,0
2600,中国铝业,188.824,0,3006,81.08%,1660,760.10%,193,-101.21%,-15966
1212,利福国际,16.008,0,3411,80.95%,1885,-29.53%,2675,-5.54%,2832
236,香港生力啤,51.739,0,20.69,79.76%,11.51,-199.57%,-11.56,-127.76%,41.64
665,海通国际,11.069,0,3572,79.32%,1992,-33.29%,2986,145.56%,1216
771,自动系统,24.906,0,69.75,78.94%,38.98,41.33%,27.58,-6.79%,29.59
230,五矿地产,8.105,0,3558,78.17%,1997,70.25%,1173,32.09%,888
512,远大医药,57.5,0,559,78.03%,314,30.29%,241,18.72%,203
455,天大药业,83.333,29.94,32.75,77.80%,18.42,-175.93%,-24.26,#DIV/0!,0
1302,先健科技,2390,0,192,77.78%,108,14.35%,94.45,89.73%,49.78
6178,光大证券,0,0,3994,,3932,,0,,0
1088,中国神华,11.96,0,73293,77.67%,41253,19.50%,34520,-43.36%,60945
1087,威讯控股,5.714,0,-87.85,77.37%,-49.53,-227.10%,38.97,-39.02%,63.91
3333,中国恒大,23.267,0,85245,76.77%,48225,49.23%,32316,13.18%,28553
1205,中信资源,18.696,0,608,76.74%,344,-105.29%,-6503,-1793.49%,384
833,华讯,17.593,0,173,75.74%,98.44,55.15%,63.45,-5.65%,67.25
680,南海控股,9.4,0,4216,75.59%,2401,589.94%,348,-148.00%,-725
1293,广汇宝信,25.534,0,1880,75.21%,1073,16.00%,925,-43.94%,1650
811,新华文轩,7.624,0,942,74.77%,539,-13.48%,623,1.47%,614
3669,永达汽车,17.352,0,2008,74.31%,1152,48.26%,777,10.21%,705
3883,中国奥园,14.377,0,3626,73.91%,2085,10.67%,1884,30.02%,1449
925,北京建设,10.789,0,299,73.84%,172,-46.75%,323,8.39%,298
86,新鸿基公司,2.589,0,2609,73.70%,1502,-64.51%,4232,96.20%,2157
914,安徽海螺水泥股份,25.766,0,21839,73.49%,12588,13.54%,11087,-30.81%,16025
6839,云南水务,7.919,0,1201,73.05%,694,65.63%,419,#DIV/0!,0
1268,美东汽车,29.741,0,416,71.90%,242,22.84%,197,-2.48%,202
2222,雷士照明,32.857,0,436,71.65%,254,25.12%,203,-164.44%,-315
3399,粤运交通,9.069,0,695,71.18%,406,-2.87%,418,38.87%,301
3313,雅高控股,6.103,0,16.47,70.67%,9.65,-90.45%,101,-29.86%,144
412,中国新金融,61.25,726,191,70.54%,112,-186.15%,-130,#DIV/0!,0
3900,绿城中国,32.449,0,6391,70.52%,3748,27.70%,2935,-50.49%,5928
3838,中国淀粉,5.85,0,496,69.28%,293,144.17%,120,76.55%,67.97
268,金蝶国际,82.613,0,421,69.08%,249,8.73%,229,-23.67%,300
877,昂纳科技集团,25.435,0,273,68.52%,162,100.25%,80.9,68.86%,47.91
532,WKK INTL (HOLD),18.413,0,160,68.51%,94.95,7.05%,88.7,-16.32%,106
874,白云山,29.833,0,2461,67.76%,1467,4.04%,1410,3.45%,1363
1098,路劲基建,8.206,0,5441,67.67%,3245,63.64%,1983,#DIV/0!,0
27,银河娱乐,42.091,0,10628,67.42%,6348,50.82%,4209,-60.16%,10564
889,连达科技控股,144.444,0,43.13,67.37%,25.77,342.02%,5.83,-83.66%,35.67
889,连达科技控股,144.444,0,43.13,67.37%,25.77,342.02%,5.83,-83.66%,35.67
889,连达科技控股,144.444,0,43.13,67.37%,25.77,342.02%,5.83,-83.66%,35.67
889,连达科技控股,144.444,0,43.13,67.37%,25.77,342.02%,5.83,-83.66%,35.67
1233,时代地产,7.577,0,5288,67.29%,3161,20.60%,2621,17.27%,2235
1771,新丰泰集团,20,0,301,67.22%,180,10.43%,163,-56.18%,372
207,大悦城地产,15.238,0,4105,67.07%,2457,48.82%,1651,-48.18%,3186
960,龙湖地产,11.15,0,26554,66.42%,15956,14.48%,13938,2.28%,13627
369,永泰地产,7.512,0,2032,66.15%,1223,1.58%,1204,-43.95%,2148
1184,S.A.S. DRAGON,19.612,0,424,64.98%,257,103.97%,126,-42.47%,219
1572,中国艺术金融,9.535,0,221,64.93%,134,#DIV/0!,0,#DIV/0!,0
3355,先进半导体,33.333,0,53.37,64.67%,32.41,-4.98%,34.11,-29.87%,48.64
6882,东瀛游,3.11,0,37.82,64.08%,23.05,-86.90%,176,95.17%,90.18
1558,东阳光药,43.122,0,752,63.48%,460,35.29%,340,#DIV/0!,0
1622,力高地产,36.131,0,1541,63.07%,945,16.09%,814,17.29%,694
838,亿和控股,7.946,0,188,62.07%,116,-55.04%,258,-25.00%,344
1606,国银租赁,0,0,2808,,2068,,0,,0
25,CHEVALIER INT'L,11.366,1341,734,62.03%,453,-71.42%,1585,#DIV/0!,0
180,开达集团,9.237,0,165,61.76%,102,-11.30%,115,2586.92%,4.28
135,昆仑能源,388.824,0,11480,61.35%,7115,44.41%,4927,-58.79%,11956
186,GRANDE HOLDINGS,-6.774,176,2632,,0,,-235,,-2
1009,国际娱乐,57.037,-63.98,93.13,61.26%,57.75,-32.73%,85.85,#DIV/0!,0
2118,天山发展控股,15.25,0,546,61.06%,339,-14.18%,395,-30.94%,572
700,腾讯控股,101.866,0,90302,60.92%,56117,38.13%,40627,33.02%,30542
1117,现代牧业,17.105,0,-666,60.10%,-416,-162.09%,670,-35.33%,1036
35,远东发展,12.027,2156,1567,60.06%,979,-26.28%,1328,#DIV/0!,0
6166,中国宏泰发展,9.439,0,1498,59.19%,941,38.18%,681,-26.93%,932
1523,珩湾科技,24.468,0,10.63,59.13%,6.68,#DIV/0!,0,#DIV/0!,0
384,中国燃气,76.201,8600,5902,58.74%,3718,-22.70%,4810,#DIV/0!,0
1132,橙天嘉禾,-7.424,0,2551,,-90.99,,-252,,-7.96
1486,思城控股,22.026,0,41.78,58.74%,26.32,-24.63%,34.92,-6.63%,37.4
152,深圳国际,12.776,0,5587,58.50%,3525,-4.81%,3703,-23.05%,4812
885,仁天科技控股,64,0,606,56.99%,386,689.53%,48.89,-94.59%,904
855,中国水务,27.077,2691,2271,56.73%,1449,27.44%,1137,#DIV/0!,0
814,北京京客隆,25.694,0,161,56.31%,103,11.82%,92.11,-23.24%,120
1966,中骏置业,5.03,0,5461,56.30%,3494,37.07%,2549,0.39%,2539
863,品牌中国,49.779,0,-53.46,55.68%,-34.34,-166.46%,51.67,-7.50%,55.86
1086,好孩子国际,22.905,0,252,55.56%,162,-38.64%,264,151.43%,105
754,合生创展集团,8.993,0,8746,55.40%,5628,98.24%,2839,-43.16%,4995
3908,中金公司,9.992,0,3531,55.28%,2274,-9.65%,2517,#DIV/0!,0
611,中国核能科技,13.913,0,148,54.88%,95.56,332.59%,22.09,-134.52%,-64
356,鼎立资本,93,0,8.04,54.32%,5.21,229.75%,1.58,-142.25%,-3.74
987,中国再生能源投资,8.077,0,32.68,53.79%,21.25,2.76%,20.68,1269.54%,1.51
2768,佳源国际控股,58.387,0,2259,53.67%,1470,203.72%,484,#DIV/0!,0
1778,彩生活,39.333,0,457,53.36%,298,18.25%,252,18.87%,212
2299,百宏实业,63.804,0,696,52.63%,456,26.32%,361,9.39%,330
530,高银金融,24.609,0,2351,52.27%,1544,-25.34%,2068,79.98%,1149
129,泛海集团,3.238,1704,1726,52.20%,1134,13.17%,1002,#DIV/0!,0
1958,北京汽车,12.261,0,17518,52.07%,11520,157.20%,4479,214.98%,1422
2283,东江集团控股,24.9,0,345,51.98%,227,8.10%,210,9.95%,191
2689,玖龙纸业,30.605,0,6561,51.49%,4331,33.67%,3240,-10.57%,3623
1142,西伯利亚矿业,-0.119,-505,2027,,-466,,-655,,0
881,中升控股,21.333,0,5885,51.21%,3892,93.63%,2010,-14.97%,2364
1862,景瑞控股,-7.147,0,2009,,918,,-86.74,,556
1308,海丰国际,19.296,0,198,51.15%,131,-11.49%,148,18.40%,125
2300,澳科控股,7.22,0,533,48.88%,358,-32.96%,534,-17.21%,645
2236,惠生工程,19.5,0,229,48.70%,154,-50.48%,311,16.48%,267
275,凯华集团,-0.292,-329,1965,,-145,,-85.89,,0
2866,中远海发,-3.953,0,1960,,517,,-2488,,2010
1290,中国汇融,23.864,0,93.58,48.59%,62.98,-58.29%,151,-34.63%,231
81,中国海外宏洋集团,7.105,0,3167,48.48%,2133,22.31%,1744,-35.09%,2687
214,汇汉控股,0,1717,1929,,1266,,954,,0
1446,鸿福堂,50,0,9.15,47.82%,6.19,-51.30%,12.71,-142.91%,-29.62
841,木薯资源,20,32.43,20.16,47.69%,13.65,-92.82%,190,#DIV/0!,0
826,天工国际,41.282,0,335,47.58%,227,6.57%,213,-68.77%,682
832,建业地产,9.056,0,1910,47.49%,1295,-33.01%,1933,-15.66%,2292
1628,禹洲地产,7.918,0,6190,47.49%,4197,33.53%,3143,16.75%,2692
1717,澳优,50.421,0,439,47.32%,298,7762.80%,3.79,-97.23%,137
606,中国粮油控股,-48.254,0,1862,,1785,,-53.81,,-338
436,新宇环保,36,0,131,47.12%,89.04,25.62%,70.88,-14.81%,83.2
580,赛晶电力电子,12.069,0,250,46.20%,171,116.05%,79.15,-345.50%,-32.24
291,华润啤酒,-24.785,0,1816,,1739,,-2453,,1841
1105,星岛,12.603,0,64.88,46.19%,44.38,-21.13%,56.27,-59.52%,139
1011,泰凌医药,22.162,0,270,45.16%,186,36.76%,136,41.56%,96.07
1816,中广核电力,11.341,0,13841,44.52%,9577,4.22%,9189,#DIV/0!,0
240,利基控股,4.711,0,257,44.38%,178,83.37%,97.07,78.04%,54.52
2000,晨讯科技,12.6,0,139,44.04%,96.5,7.64%,89.65,78.66%,50.18
6198,青岛港,11.566,0,3961,43.83%,2754,66.10%,1658,17.09%,1416
286,同佳健康,62.857,0,47.28,43.80%,32.88,-32.97%,49.05,22.63%,40
956,新天绿色能源,44.63,0,1764,43.65%,1228,72.96%,710,-35.04%,1093
179,德昌电机控股,14.506,335,296,43.00%,207,-14.81%,243,#DIV/0!,0
486,RUSAL,3.488,0,1523,42.60%,1068,-24.20%,1409,49.58%,942
656,复星国际,11.043,0,22971,41.09%,16281,0.61%,16183,27.38%,12705
345,VITASOY INT'L,55.599,822,848,40.63%,603,13.99%,529,#DIV/0!,0
639,首钢资源,-23.038,0,1648,,144,,-836,,-84.21
2607,上海医药,16.523,0,5321,40.58%,3785,4.24%,3631,18.54%,3063
1113,长实地产,13.453,0,38127,40.31%,27174,12.23%,24213,#DIV/0!,0
633,中国全通,3.968,0,360,40.08%,257,-51.42%,529,44.14%,367
3639,亿达中国,0,0,1599,,1031,,1442,,1492
123,越秀地产,10.216,0,5074,40.05%,3623,-1.92%,3694,-18.09%,4510
3839,正大企业国际,10.324,0,19.07,40.01%,13.62,-9.44%,15.04,#DIV/0!,0
158,万邦投资,0,0,1546,,312,,590,,36.43
1681,康臣药业,21.382,0,560,39.65%,401,25.31%,320,21.21%,264
380,冠力国际,13.8,0,76.03,39.50%,54.5,37.52%,39.63,50.06%,26.41
358,江西铜业股份,39.202,0,2904,39.35%,2084,71.38%,1216,-68.92%,3912
610,惠记集团,4.538,0,1064,39.27%,764,62.90%,469,-17.57%,569
3380,龙光地产,15.655,0,11561,39.21%,8305,97.27%,4210,10.47%,3811
2393,巨星医疗控股,24.951,0,530,38.02%,384,37.14%,280,90.48%,147
1799,新特能源,0,0,1492,,1170,,967,,0
693,陈唱国际,17.647,0,952,37.97%,690,-10.97%,775,-39.22%,1275
1126,德林国际,22.646,0,488,37.85%,354,76.12%,201,20.36%,167
1999,敏华控股,16.988,1923,2052,37.72%,1490,18.35%,1259,#DIV/0!,0
2298,都市丽人,11.331,0,420,37.70%,305,-55.73%,689,19.83%,575
6868,天福,34.155,0,333,37.60%,242,-7.98%,263,-27.35%,362
255,龙记集团,19.095,0,385,37.50%,280,64.71%,170,-1.16%,172
2202,万科企业,12.787,0,64173,36.98%,46848,17.40%,39903,35.31%,29490
570,中国中药,30.896,0,1786,36.96%,1304,75.27%,744,36.51%,545
1381,粤丰环保,30.882,0,749,36.93%,547,43.57%,381,28.28%,297
83,信和置业,10.931,0,10614,36.90%,7753,-27.00%,10621,2.88%,10324
47,合兴集团,23.857,0,242,36.72%,177,88.10%,94.1,94.90%,48.28
258,汤臣集团,8.216,0,2401,36.42%,1760,45.82%,1207,446.15%,221
272,瑞安房地产,14.746,0,7190,36.38%,5272,427.20%,1000,-60.94%,2560
3326,保发集团,3.653,0,53.79,36.28%,39.47,-40.20%,66,#DIV/0!,0
999,I.T,30.412,758,572,35.87%,421,-14.78%,494,#DIV/0!,0
2221,创业集团控股,28.145,0,95.34,35.72%,70.25,0.37%,69.99,#DIV/0!,0
6886,HTSC,6.141,0,11045,35.70%,8139,-41.20%,13843,#DIV/0!,0
618,北大资源,-7,0,1338,,106,,-6.64,,-130
1257,中国光大绿色环保,0,0,1314,,0,,0,,0
8,电讯盈科,16.791,0,5734,35.65%,4227,-4.80%,4440,-18.89%,5474
