序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
158,01398,工商银行,5.56,2.77,0.15,0.66,5.71亿,5.06,5.41,5.41,5.63,5.33,0,675654百万,641681百万,668733百万,634858百万
159,02007,碧桂园,12.66,2.76,0.34,0.45,9735.63万,8.60,12.32,12.22,12.68,11.64,0,43598百万,22124百万,16178百万,16605百万
160,01033,中石化油服,1.12,2.75,0.03,0.07,371.60万,112.03,1.09,1.1,1.13,1.05,0,-10370百万,-16095百万,89.42百万,610百万
161,00518,同得仕(集团),0.75,2.74,0.02,0.1,48.80万,--,0.73,0.75,0.75,0.72,-42.35百万,-120百万,-65.53百万,191百万,0
162,00680,南海控股,0.19,2.73,0.01,0.01,605.00万,7.55,0.183,0.18600000000000003,0.188,0.18,0,4216百万,2401百万,348百万,-725百万
163,00538,味千(中国),3.39,2.73,0.09,0.07,73.00万,--,3.3,3.36,3.58,3.32,0,302百万,927百万,363百万,419百万
164,01986,彩客化学,5.65,2.73,0.15,0.11,115.10万,36.25,5.5,5.8,5.8,5.41,0,181百万,154百万,148百万,0
165,00980,联华超市,2.28,2.7,0.06,0.05,19.90万,--,2.22,2.18,2.31,2.18,0,119百万,-221百万,-146百万,300百万
166,00621,坛金矿业,0.04,2.7,0.0,0.03,599.00万,--,0.037000000000000005,0.037000000000000005,0.038,0.036000000000000004,-199百万,178百万,506百万,-201百万,0
167,00836,华润电力,15.24,2.69,0.4,0.26,1261.16万,15.71,14.84,14.86,15.26,14.4,0,12480百万,16355百万,20008百万,15220百万
168,01252,中国天瑞水泥,6.87,2.69,0.18,0.01,43.10万,15.49,6.69,6.7,6.87,6.69,0,1354百万,352百万,313百万,753百万
169,01523,珩湾科技,1.15,2.68,0.03,0.06,60.80万,16.92,1.12,1.12,1.15,1.09,0,10.63百万,6.68百万,0,0
170,00231,平安证券集团控股,0.08,2.67,0.0,0.0,83.50万,--,0.075,0.075,0.077,0.07400000000000001,0,-121百万,-33.35百万,-274百万,-723百万
171,01285,嘉士利集团,1.93,2.66,0.05,0.01,6.20万,6.27,1.88,1.89,1.94,1.89,0,128百万,115百万,136百万,89.91百万
172,00003,香港中华煤气,16.22,2.66,0.42,0.23,3601.69万,27.59,15.8,15.8,16.22,15.78,0,11097百万,9846百万,9906百万,9875百万
173,02339,京西国际,1.16,2.65,0.03,0.14,81.48万,--,1.13,1.14,1.16,1.13,0,5.78百万,190百万,166百万,389百万
174,00650,IDG能源,1.16,2.65,0.03,0.09,547.40万,290.00,1.13,1.13,1.18,1.1,0,-434百万,-3.78百万,-235百万,-198百万
175,01558,东阳光药,40.75,2.65,1.05,1.34,302.08万,23.77,39.7,40.1,40.9,39.2,0,752百万,460百万,340百万,0
176,06830,华众车载,1.4,2.64,0.04,0.25,449.00万,14.95,1.364,1.36,1.42,1.34,0,214百万,175百万,137百万,159百万
