,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
0,600423,*ST柳化,215.12,,,159.31,农药化肥,广西,31.34,3.99,3.99,320368.16,75176.95,200443.92,50930.59,1.28,0.154,0.1,49.93,20030717.0,-96691.71,-2.42,-11.86,107.54,5.42,3.36,29100.0
1,600306,商业城,71.97,68.0,63.19,55.18,百货,辽宁,18.4,1.77,1.78,163259.2,19135.5,109013.17,20389.11,1.14,0.46299999999999997,0.84,10.15,20001226.0,-25150.89,-1.41,-4.61,-25.57,17.17,8.93,18600.0
2,000717,韶钢松山,26.83,58.6,79.22,84.65,普钢,广东,4.97,24.2,24.2,1389692.5,393341.47,783910.13,322877.38,1.33,0.355,1.58,4.45,19970508.0,-245638.97,-1.02,15.89,410.42,16.3,14.06,136183.0
3,600133,东湖高新,26.81,27.85,27.13,24.64,园区开发,湖北,7.49,5.38,7.26,2282491.25,1677212.75,90254.17,130032.61,1.79,1.44,5.03,1.9,19980212.0,132555.77,1.83,24.84,534.51,13.86,12.11,94944.0
4,002893,华通热力,25.83,19.25,6.03,8.79,供气供热,北京,9.07,0.3,1.2,147668.95,68297.45,38442.8,26066.85,2.17,0.7140000000000001,5.66,4.58,20170915.0,28904.24,2.41,7.31,-24.01,23.66,15.45,21244.0
5,600354,敦煌种业,23.4,17.8,12.19,2.79,种植业,甘肃,20.72,4.48,5.28,270930.78,165558.77,54162.93,90230.86,1.71,0.235,1.93,3.37,20040115.0,-44267.8,-0.84,-5.76,170.42,-10.29,61.38,63725.0
6,600225,*ST松江,22.84,23.83,21.69,12.29,区域地产,天津,0.0,9.32,9.35,1471677.25,1081199.25,23811.77,114885.02,1.23,-0.171,1.57,2.65,20000127.0,-81981.92,-0.88,-73.91,-137.83,41.1,-212.28,22598.0
7,600230,沧州大化,21.94,30.78,39.49,46.76,农药化肥,河北,8.17,2.94,2.94,434398.16,186313.81,220486.95,64217.56,2.18,4.361000000000001,9.33,3.82,20000406.0,161785.92,5.5,50.05,245.77,55.69,29.05,44900.0
8,600338,西藏珠峰,20.28,35.49,56.96,65.35,铅锌,西藏,22.89,1.58,6.53,400380.0,258801.34,94929.86,2236.43,0.03,0.34299999999999997,2.86,10.96,20001227.0,184702.25,2.83,-3.68,-26.85,71.12,40.32,23017.0
9,000036,华联控股,18.32,25.71,26.25,30.47,全国地产,深圳,5.93,11.35,11.41,821708.63,593262.69,93330.93,23105.13,0.2,0.9470000000000001,3.86,1.94,19940617.0,256030.66,2.24,1983.65,127.12,68.8,35.67,71317.0
10,300288,朗玛信息,18.3,20.72,22.94,8.01,软件服务,贵州,91.2,2.03,3.38,154612.91,37492.26,16588.68,38445.37,1.14,0.064,3.65,6.35,20120216.0,46403.26,1.37,7.42,33.67,50.2,20.31,43073.0
11,600291,西水股份,17.53,19.08,19.43,19.36,保险,内蒙,6.12,9.79,10.93,23830208.0,0.0,55629.36,589471.69,5.39,2.275,11.71,1.59,20000731.0,327726.63,3.0,6.88,6340.41,0.0,11.1,112173.0
12,000505,京粮控股,17.44,20.92,6.77,6.16,食品,海南,44.24,3.6,6.86,576836.75,357168.5,132274.06,159254.16,2.32,0.045,3.11,2.58,19921221.0,-26806.97,-0.39,20.78,4.63,7.35,1.66,33650.0
13,000526,*ST紫学,16.87,70.23,61.03,34.53,文教休闲,福建,111.18,0.96,0.96,358513.38,149970.95,15110.55,5808.39,0.6,0.253,0.73,38.39,19931101.0,-9032.32,-0.94,115.14,124.71,28.83,0.87,12200.0
14,600633,浙数文化,16.31,17.4,19.88,21.1,出版业,浙江,6.88,12.9,13.02,969986.38,311452.53,4122.96,327278.5,2.51,1.192,5.99,1.82,19930304.0,319796.88,2.46,-46.75,289.67,58.67,132.93,60248.0
15,600167,联美控股,15.4,6.64,6.88,12.97,供气供热,辽宁,22.61,2.11,8.8,1113633.0,651005.19,272910.94,371897.41,4.23,1.16,8.07,2.93,19990128.0,232190.02,2.64,16.24,31.93,50.0,38.8,7082.0
16,002207,*ST准油,15.38,11.25,11.44,2.81,石油开采,新疆,0.0,2.37,2.39,67200.63,23779.1,11865.62,22058.7,0.92,-0.067,1.4,5.48,20080128.0,-17628.26,-0.74,36.39,-125.7,-21.85,-56.72,30198.0
17,600303,曙光股份,13.75,12.4,12.1,10.18,汽车整车,辽宁,15.95,6.2,6.76,775817.81,376387.19,253631.66,111036.77,1.64,0.46799999999999997,4.59,1.62,20001226.0,104216.81,1.54,1.94,420.74,17.06,8.3,80600.0
18,600393,粤泰股份,13.13,15.98,20.13,19.81,全国地产,广东,9.78,9.88,25.36,1758450.63,1612380.88,19869.07,207168.55,0.82,0.47,2.33,2.63,20010319.0,121130.9,0.48,777.46,1428.85,46.59,23.68,27400.0
19,002027,分众传媒,12.2,36.61,47.2,57.89,影视音像,广东,28.44,58.04,122.32,1570876.0,1105172.88,39982.12,18620.78,0.02,0.099,0.95,11.87,20040804.0,1089309.88,0.89,22.28,9.1,68.94,40.8,108000.0
20,603165,荣晟环保,12.03,21.21,29.16,37.65,造纸,浙江,21.58,0.32,1.29,137888.06,78168.71,42896.05,33545.4,2.61,0.467,8.74,4.61,20170117.0,64004.44,4.98,-10.35,-38.07,16.6,14.02,15100.0
21,000822,山东海化,11.38,13.57,19.68,24.19,化工原料,山东,11.62,8.95,8.95,405600.72,193950.25,169470.67,150721.88,1.68,0.159,3.32,2.22,19980703.0,23035.07,0.26,10.14,-48.5,14.69,11.68,77814.0
22,600309,万华化学,11.26,23.13,32.59,40.81,化工原料,山东,8.95,27.34,27.34,6582773.0,2520021.5,2761033.0,239282.55,0.88,4.09,9.98,3.65,20010105.0,1932001.0,7.07,76.49,202.62,39.7,20.96,128700.0
23,000011,深物业A,11.11,13.66,20.01,21.32,区域地产,深圳,13.41,1.76,5.96,539333.13,450584.0,2934.68,11893.8,0.2,1.045,4.9,2.86,19920330.0,191131.86,3.21,41.06,75.55,43.96,21.45,47200.0
24,600581,八一钢铁,11.02,15.42,28.21,34.96,普钢,新疆,7.36,15.33,15.33,1860126.25,352518.41,1457624.0,408675.78,2.67,0.762,2.18,2.57,20020816.0,-231474.91,-1.51,69.44,3047.86,14.05,6.97,59400.0
25,603387,基蛋生物,10.73,24.23,12.69,16.96,生物制药,江苏,36.46,0.33,1.33,133547.92,110989.86,13787.2,72285.53,5.44,0.501,9.12,8.01,20170717.0,33652.87,2.53,55.28,62.69,82.54,46.33,13926.0
26,002714,牧原股份,10.72,13.17,18.63,18.57,农业综合,河南,101.68,6.0,11.58,2658833.0,969576.63,1134459.13,386489.97,3.34,0.11699999999999999,11.11,4.3,20140128.0,500498.81,4.32,40.03,-80.0,13.07,4.94,23809.0
27,600210,紫江企业,10.44,13.3,15.22,13.01,广告包装,上海,11.1,15.17,15.17,1003800.13,470610.06,330293.66,36174.81,0.24,0.366,2.81,1.44,19990824.0,186134.5,1.23,1.81,147.81,18.64,6.52,126500.0
28,603757,大元泵业,9.86,20.17,14.82,20.06,专用机械,浙江,30.05,0.21,0.84,116020.11,86893.32,22549.15,49251.42,5.88,0.442,11.12,4.78,20170711.0,33872.96,4.04,18.29,19.53,30.47,15.42,6133.0
29,603617,君禾股份,9.7,8.45,9.17,11.98,专用机械,浙江,41.38,0.25,1.0,73939.0,57485.03,12566.08,19398.45,1.94,0.66,4.7,4.96,20170703.0,15516.25,1.55,17.25,2.01,26.2,9.74,10683.0
30,600507,方大特钢,9.7,23.32,39.93,52.13,特种钢,江西,8.58,13.26,14.5,1174647.88,757410.0,242419.17,6176.95,0.04,0.42,2.49,5.29,20030930.0,124731.92,0.86,40.15,95.68,29.22,14.43,85942.0
31,600746,江苏索普,9.65,12.09,13.73,14.9,化工原料,江苏,26.67,3.05,3.06,64941.98,38167.65,14085.15,6207.23,0.2,0.245,1.64,3.98,19960918.0,8850.4,0.29,24.68,244.46,17.91,9.65,21300.0
32,002869,金溢科技,9.62,5.57,5.65,8.74,通信设备,深圳,118.79,0.3,1.18,130930.27,113815.15,3996.28,63015.38,5.35,0.059000000000000004,8.74,3.19,20170515.0,23858.93,2.03,-18.33,-83.77,38.18,4.59,17177.0
33,603933,睿能科技,9.6,9.09,13.54,14.55,纺织机械,福建,25.24,0.26,1.03,142117.73,132888.5,5574.71,49808.84,4.85,0.38,9.75,3.93,20170706.0,39522.55,3.85,2.32,-4.66,20.28,8.55,13427.0
34,300136,信维通信,9.58,17.48,27.83,32.21,通信设备,深圳,36.42,7.45,9.83,550644.0,307382.03,50157.59,35814.15,0.36,0.214,3.02,10.3,20101105.0,174831.31,1.78,20.03,2.82,37.32,24.36,42968.0
35,002304,洋河股份,9.52,14.58,19.6,22.45,白酒,江苏,22.71,12.4,15.07,3955368.0,2526792.25,784142.25,74170.4,0.49,3.7039999999999997,18.89,5.94,20091106.0,2546643.0,16.9,15.08,15.34,62.25,33.07,20791.0
36,300660,江苏雷利,9.52,6.71,9.46,10.95,电气设备,江苏,32.33,0.25,1.02,288951.13,262550.75,17094.36,152929.61,15.0,0.48,20.01,3.07,20170602.0,39810.23,3.91,15.44,-20.22,22.37,8.7,18687.0
37,603260,合盛硅业,9.3,17.3,26.74,28.01,化工原料,浙江,18.35,0.7,6.7,1514759.0,522197.59,500081.06,226936.52,3.39,0.94,9.02,7.65,20171030.0,303294.59,4.53,55.25,132.26,43.69,28.06,32730.0
38,600398,海澜之家,9.13,19.3,24.22,29.78,服饰,江苏,16.05,44.93,44.93,2509830.25,1764136.38,313873.47,203270.98,0.45,0.741,2.49,4.78,20001228.0,660682.0,1.47,7.06,6.6,38.95,18.29,59300.0
39,000820,神雾节能,9.08,22.1,29.4,32.22,环境保护,辽宁,26.52,2.88,6.37,204989.84,198675.52,931.6,895.19,0.01,0.479,1.69,10.01,19980630.0,89676.55,1.41,99.57,102.81,55.35,35.0,41054.0
40,603868,飞科电器,9.06,19.39,27.58,34.65,家用电器,上海,31.22,0.44,4.36,315706.72,231292.8,58006.46,68804.5,1.58,0.4,5.93,8.43,20160418.0,124316.51,2.85,-5.93,-12.99,37.87,19.71,12274.0
41,000848,承德露露,9.06,12.56,16.75,20.69,软饮料,河北,10.41,9.78,9.79,274290.16,212934.25,25763.47,1730.84,0.02,0.223,2.27,4.1,19971113.0,86276.65,0.88,13.19,10.99,52.94,24.41,49431.0
42,300658,延江股份,9.0,6.2,8.65,12.0,纺织,福建,100.22,0.25,1.0,105624.9,72474.96,18366.21,45555.94,4.56,0.06,7.6,3.17,20170602.0,17841.35,1.78,-11.03,-72.89,29.84,3.8,10433.0
