,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
180,603993,洛阳钼业,3.08,4.46,4.3,7.14,小金属,河南,63.9,129.54,215.99,9783725.0,3904879.5,2423493.25,2758279.5,1.28,0.14,1.77,4.57,20121009,551744.13,0.26,247.47,173.32,37.0,11.3,242088.0
181,000001,平安银行,2.99,5.93,8.78,10.44,银行,深圳,8.16,169.18,171.7,324847392.0,0.0,803600.0,5646500.0,3.29,1.3,11.77,0.94,19910403,7966100.0,4.64,-1.79,2.61,0.0,21.92,393000.0
182,000008,神州高铁,0.15,0.9,1.95,,运输设备,北京,115.11,25.58,28.18,947199.19,501960.81,21886.4,288451.72,1.02,0.043,2.22,3.0,19920507,76263.9,0.27,-2.8,-43.79,50.06,12.45,64328.0
183,000060,中金岭南,2.75,5.71,8.66,10.66,铅锌,深圳,21.14,22.12,23.8,1886884.25,736746.06,542061.81,273448.06,1.15,0.46,4.2,2.26,19970123,436579.16,1.83,25.95,230.1,14.21,5.63,156400.0
184,000063,中兴通讯,4.39,7.9,12.65,14.43,通信设备,深圳,27.5,34.34,41.93,14396222.0,10823059.0,869445.63,1130485.38,2.7,1.09,7.55,3.97,19971118,1466768.25,3.5,7.49,293.78,31.07,4.2,318000.0
185,000157,中联重科,0.22,3.04,3.43,3.54,工程机械,湖南,24.28,62.25,77.94,8314907.0,6204156.0,587106.63,1309294.75,1.68,0.171,4.82,0.86,20001012,1512858.13,1.94,16.23,242.65,21.35,5.72,374800.0
186,000166,申万宏源,1.82,3.9,6.57,,证券,新疆,22.97,200.28,225.36,28867292.0,0.0,126767.57,444494.59,0.2,0.18,2.75,1.77,20150126,1821340.0,0.81,-5.14,-6.89,0.0,37.17,324597.0
187,000333,美的集团,6.64,16.3,21.05,23.43,家用电器,广东,19.52,63.58,65.75,24810686.0,16981068.0,2260072.5,1591150.38,2.42,2.66,11.24,4.56,19931112,4762723.5,7.24,51.35,17.7,25.03,7.18,155900.0
188,000338,潍柴动力,3.58,8.1,12.04,19.32,汽车配件,山东,10.02,43.15,79.97,18963816.0,10034017.0,2706740.5,13589.87,0.02,0.851,4.41,1.94,20070430,2789878.5,3.49,62.66,178.89,21.84,4.49,187300.0
189,000413,东旭光电,1.73,2.82,4.48,,元器件,河北,31.2,40.95,57.3,4869413.0,3477729.5,899441.81,1520815.5,2.65,0.21,4.64,1.61,19960925,256585.77,0.45,84.64,27.97,24.54,13.04,349000.0
