,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
237,2027,分众传媒,12.2,36.61,47.2,,影视音像,广东,28.06,58.04,122.32,1261868.5,996725,31904.36,18293.81,0.01,0.32,0.85,14.09,20040804,763757.19,0.62,15.74,24.45,72.28,44.87,55515
262,2460,赣锋锂业,5.21,22.46,33.08,36.38,小金属,江西,35.15,5.24,7.41,799910,456768.09,79526.06,114040.47,1.54,1.982,5.45,12.79,20100810,194919.66,2.63,54.12,216.36,40.47,33.51,108450
45,600309,万华化学,11.26,23.13,32.59,40.81,化工原料,山东,8.95,27.34,27.34,6582773,2520021.5,2761033,239282.55,0.88,4.09,9.98,3.65,20010105,1932001,7.07,76.49,202.62,39.7,20.96,128700
297,300136,信维通信,9.58,17.48,27.83,,通信设备,深圳,35.75,7.45,9.83,479046.75,325385.13,44655.45,33830.17,0.34,0.73,2.81,12.35,20101105,140833.13,1.43,64.94,106.4,37.4,28.8,43782
210,651,格力电器,6.93,18.01,26.37,,家用电器,广东,13.66,59.7,60.16,22072378,17467548,1727772,18340.06,0.03,2.57,9.75,4.8,19961118,4870734.5,8.1,34.51,37.68,31.37,13.94,363550
285,2841,视源股份,5.41,13.85,24.92,,元器件,广东,43.64,0.41,4.07,541879.5,463160.06,44692.76,81343.8,2,1.49,6.17,13.82,20170119,123421.35,3.03,23.2,0.28,21.11,7.99,9326
294,300072,三聚环保,6.38,16.28,24.17,,环境保护,北京,20.82,13.76,18.08,2326108.75,1992613.75,178618.97,169794.34,0.94,1.12,4.86,6.3,20100427,472329.25,2.61,66.48,64.13,18.73,11.64,52463
65,600519,贵州茅台,7.74,14.87,23.68,29.61,白酒,贵州,32.19,12.56,12.56,13461011,11224919,1524409.63,137496.44,1.09,21.557,72.8,9.53,20010827,8001130.5,63.69,49.81,61.97,89.8,46.51,84984
225,895,双汇发展,5.82,15.62,23.45,29.54,食品,河南,19.56,32.99,33,2308906.5,1001653.5,1149980.75,188505.34,0.57,1.309,4.43,5.78,19981210,760197.06,2.3,-2.65,-1.95,18.91,8.56,56183
257,2415,海康威视,5.73,13.68,22.85,,电器仪表,浙江,46.23,79.07,92.27,4430441,3849100.5,292851.56,177044.52,0.19,0.667,3.29,12.49,20100528,1420472.13,1.54,31.14,26.82,44.18,22.19,127510
183,603160,汇顶科技,6.02,15.82,22.8,,元器件,深圳,41.1,2.3,4.54,418883.81,385200.13,15153.24,125624.65,2.77,1.71,7.36,12.5,20161017,187336.67,4.12,34.63,26.63,47.38,26.7,25665
264,2466,天齐锂业,7.73,16.75,22.58,23.65,小金属,四川,29.19,11.36,11.42,1783985.75,786514.19,146658.05,418974.38,3.67,1.94,9.12,6.01,20100831,361620.06,3.17,40.09,41.86,70.14,39.21,129463
234,2008,大族激光,2.72,14.98,21.78,,电器仪表,深圳,28.26,9.92,10.67,1561020.13,1047977.13,133630.38,79206.18,0.74,1.408,6.55,8.1,20040625,421052.91,3.95,78.69,137.31,43,16.85,69285
235,2008,大族激光,2.72,14.98,21.78,,电器仪表,深圳,28.26,9.92,10.67,1561020.13,1047977.13,133630.38,79206.18,0.74,1.408,6.55,8.1,20040625,421052.91,3.95,78.69,137.31,43,16.85,69285
195,333,美的集团,6.64,16.3,21.05,23.43,家用电器,广东,20.17,63.58,65.75,24810686,16981068,2260072.5,1591150.38,2.42,2.66,11.24,4.72,19931112,4762723.5,7.24,51.35,17.7,25.03,7.18,142730
184,603799,华友钴业,5.47,13.53,20.76,,小金属,浙江,45.26,5.86,5.93,1375890.75,836729.69,328562.84,288167.81,4.86,1.852,8.92,12.53,20150129,169786.27,2.86,76.19,9723.36,33.25,17.86,52412
97,600887,伊利股份,6.98,14.78,20.41,,乳制品,内蒙,27.47,60.33,60.78,4713239.5,2853463.25,1293204.63,277280.72,0.46,0.812,3.98,7.48,19960312,1358262.25,2.23,13.51,12.47,37.92,9.47,177933
269,2508,老板电器,5.71,13.6,20.18,,家用电器,浙江,26.21,9.35,9.49,785402.75,657878.06,82814.74,39765.26,0.42,1.012,5.01,7.05,20101123,297628.31,3.14,25.15,36.95,56.07,19.26,28077
252,2304,洋河股份,9.52,14.58,19.6,,白酒,江苏,22.57,12.4,15.07,3955368,2526792.25,784142.25,74170.4,0.49,3.704,18.89,5.9,20091106,2546643,16.9,15.08,15.34,62.25,33.07,20791
251,2294,信立泰,6.56,13.63,19.13,23.98,化学制药,深圳,30.73,10.46,10.46,686438.19,371643.72,111724.52,16109.25,0.15,1.388,5.79,7.37,20090910,432497.56,4.13,8.35,3.97,81.1,34.95,31030
127,601225,陕西煤业,7.13,13.84,19.04,23.62,煤炭开采,陕西,7.31,100,100,10540721,2680958.25,3174938.75,739342.06,0.74,1.045,4.42,1.73,20140128,2364790,2.36,53.71,279.3,55.4,20.52,69996
83,600690,青岛海尔,6.13,15.08,18.81,,家用电器,山东,14.21,60.97,60.97,14444866,8203567,1546794,8346.28,0.01,0.932,4.95,3.56,19931119,2169003.5,3.56,41.27,48.48,29.9,4.77,138077
287,300015,爱尔眼科,5.26,11.74,18.75,,医疗保健,湖南,73.13,11.98,15.86,703303.69,211073.72,102725.61,59085.26,0.37,0.42,2.22,17.52,20091030,129651.81,0.82,42.16,35.06,48.46,14.44,25497
279,2714,牧原股份,10.72,13.17,18.63,18.57,农业综合,河南,24.34,6,11.58,2404463.5,874215.38,1059695.88,386489.97,3.34,2.12,10.99,4.52,20140128,486895.06,4.2,79.14,1.88,29.81,23.56,19000
91,600816,安信信托,7.55,11.42,18.42,22.65,多元金融,上海,14.23,24.98,45.58,2512611.5,0,917.05,401238.13,0.88,0.805,3.55,3.22,19940128,584343.13,1.28,6.6,20.91,0,65.59,70800
110,601012,隆基股份,4.17,11.08,18.42,25.11,半导体,陕西,18.21,19.76,19.94,3288370,1892740,1080354.88,543336.31,2.72,1.81,7.12,4.57,20120411,589691.06,2.96,41.9,130.38,32.27,21.79,68268
270,2555,三七互娱,8.73,13.67,18.37,,互联网,安徽,23.3,11.67,21.48,873319.5,284776.44,26405.72,195185.88,0.91,0.57,3.07,5.71,20110302,241642.75,1.12,21.73,61.04,68.69,27.13,40126
230,963,华东医药,6.95,13.58,18.35,21.2,化学制药,浙江,36.42,8.68,9.72,1598710.63,1279272.13,197713.59,294158.53,3.03,1.831,8.63,7.72,20000127,398731.34,4.1,9.66,23.01,26.12,6.39,26671
265,2468,申通快递,5.59,12.36,17.56,,仓储物流,浙江,24.45,3.32,15.31,786302.06,533113.25,77373.78,321889.53,2.1,0.736,4.19,5.73,20100908,262437.06,1.71,25.99,24.09,19.61,13.16,36331
59,600436,片仔癀,6.08,11.51,16.71,,中成药,福建,54.46,6.03,6.03,548672.06,406228.41,24432.22,63754.3,1.06,1.118,6.69,12.14,20030616,229438.2,3.8,68.83,40.26,43.21,24.58,60902
47,600340,华夏幸福,5.64,14.49,16.63,23.67,区域地产,河北,10.82,29.55,29.55,37586472,34848628,284216.66,343730.63,1.16,2.83,9.51,3.38,20031230,2019873.25,6.84,10.8,35.26,47.93,14.72,117759
43,600276,恒瑞医药,6.14,11.51,16.13,,化学制药,江苏,76.76,28.17,28.33,1653558.25,1320718,172729.52,44377.17,0.16,0.83,5.12,16.42,20001018,994266.69,3.51,21.81,20.7,86.55,23.12,49554
291,300033,同花顺,3.96,10.42,16.12,22.89,软件服务,浙江,37.55,2.64,5.38,421118.56,374421.13,36191.65,35677.57,0.66,1.35,5.89,8.6,20091225,199298.91,3.71,-18.69,-40.11,90,51.48,49400
82,600688,上海石化,7.22,10.44,15.63,21.73,石油加工,上海,10.15,73.29,108.24,3960953.5,1986605.25,1289250.13,58630.7,0.05,0.567,2.61,2.21,19931108,1111079.5,1.03,18.13,3.12,24.3,6.67,99245
185,603833,欧派家居,1.12,7.39,15.4,,家居用品,广东,45.46,0.9,4.21,901359.31,460835.81,162250.63,290630.72,6.91,2.34,14.57,9.34,20170328,267802.22,6.37,0,0,35.19,13.68,12727
247,2236,大华股份,3.36,10.83,15.15,22.72,电器仪表,浙江,29.08,17.02,28.99,2133347.75,1755631.63,124830.51,59334.06,0.2,0.821,3.61,6.61,20080520,599613,2.07,41.38,30.33,38.23,12.62,50500
202,538,云南白药,4.4,9.05,14.88,,中成药,云南,28.75,10.41,10.41,2668540,2414405,175079.09,124721.57,1.2,2.501,16.8,5.71,19931215,1435950.5,13.79,10.56,10.39,31.82,14.47,41428
131,601318,中国平安,5.6,10.19,14.79,18.82,保险,深圳,13.25,108.33,182.8,649307520,0,4303700,12093400,6.62,4.99,25.89,2.49,20070301,23686300,12.96,25.04,42.78,0,10,401158
30,600115,东方航空,5.62,8.41,14.5,11.96,空运,上海,15.78,98.08,144.68,22746400,1829300,16313000,2676000,1.85,0.439,3.67,1.89,19971105,1387900,0.96,3.21,40.91,11.24,6.24,221100
244,2174,游族网络,7.04,11.19,14.49,16.19,互联网,福建,29.02,5.77,8.88,663594.75,313398.53,69906,93032.38,1.05,0.76,4.56,4.7,20070925,219884,2.47,27.89,11.57,52.17,20.27,40169
21,600066,宇通客车,2.27,6.61,14.33,20.18,汽车整车,河南,15.49,22.14,22.14,3616540.5,2743124.5,398276.69,127876.86,0.58,1.413,7,3.13,19970508,873079.31,3.94,-7.33,-22.62,26.32,9.42,45994
