,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3374,600608,ST沪科,,,,105.97,钢加工,上海,39.31,3.18,3.29,18964.45,18940.75,23.7,44866.9,1.36,0.19,0.18,41.66,19920327.0,-76552.15,-2.33,78.77,361.89,0.32,13.26,23017.0
3375,600247,ST成城,,,,,商贸代理,吉林,0.0,3.36,3.36,91644.18,84886.0,178.55,21929.07,0.65,-1.095,-0.87,-8.99,20001123.0,-90828.55,-2.7,7.22,-488.23,4.11,-198.16,21905.0
3376,600678,四川金顶,,,-135.14,103.06,水泥,四川,120.93,3.49,3.49,43668.05,9138.96,17294.02,30535.36,0.87,0.083,0.08,124.64,19931008.0,-65647.28,-1.88,108.11,202.16,27.14,15.6,37900.0
3377,603383,顶点软件,,3.05,4.31,10.86,软件服务,福建,41.15,0.21,0.86,115820.3,104881.36,3878.28,46668.25,5.43,1.35,10.92,4.47,20170522.0,38075.21,4.43,19.09,44.59,78.78,41.8,8957.0
3378,603890,春秋电子,,14.97,21.4,,机械基件,江苏,29.85,0.34,1.37,135607.91,102634.4,17329.92,16794.82,1.23,0.852,5.31,6.39,20171212.0,26800.36,1.96,0.0,0.0,20.8,9.28,35047.0
3379,000953,*ST河化,,,,126.44,农药化肥,广西,83.84,2.94,2.94,81787.81,29498.33,51019.76,12456.82,0.42,0.1,0.08,106.01,19991202.0,-43511.09,-1.48,-44.55,120.78,-1.94,13.34,30842.0
3380,600877,ST嘉陵,,,,3050.19,摩托车,重庆,14.65,6.87,6.87,167330.56,84059.96,42376.35,11886.07,0.17,0.439,0.01,447.01,19951013.0,-136323.05,-1.98,-16.39,197.97,5.4,51.32,75029.0
3381,601005,重庆钢铁,,,,1.91,普钢,重庆,61.86,83.8,89.19,2501246.0,475717.31,1759569.75,1928214.75,2.16,0.036000000000000004,1.88,1.18,20070228.0,-1207762.5,-1.35,199.82,106.83,3.22,2.42,154200.0
3382,002925,盈趣科技,,39.13,52.14,58.97,元器件,福建,36.81,0.75,4.55,257075.42,220943.27,16370.87,9387.63,0.21,2.59,4.39,18.12,20180115.0,101502.5,2.23,98.2,120.86,48.94,30.11,45000.0
3383,002920,德赛西威,,23.99,29.28,16.56,汽车配件,广东,33.03,1.0,5.5,442787.56,347101.78,52933.41,19826.17,0.36,0.852,6.77,5.54,20171226.0,87035.38,1.58,0.0,0.0,26.15,10.54,55000.0
3384,603709,中源家居,,23.64,,,家居用品,浙江,35.14,0.2,0.8,41752.76,0.0,0.0,0.0,0.0,0.706,2.42,13.66,20180208.0,0.0,0.0,0.0,0.0,0.0,9.68,19998.0
3385,603871,嘉友国际,,23.57,31.85,,仓储物流,北京,23.87,0.2,0.8,83572.52,62979.11,13814.36,13638.36,1.7,2.147,8.99,7.6,20180206.0,32877.64,4.11,0.0,0.0,10.15,7.07,20000.0
3386,002901,大博医疗,,20.66,18.18,,医疗保健,福建,53.61,0.4,4.0,128194.11,100067.38,19247.01,41211.75,1.03,0.54,2.89,13.0,20170922.0,31030.38,0.78,0.0,0.0,82.52,47.65,77749.0
