,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
0,600000,浦发银行,3.8,7.27,10.03,,银行,上海,6.07,281.04,293.52,606383680.0,0.0,2527500.0,8176000.0,2.79,1.45,13.2,0.88,19991110,10843900.0,3.69,3.18,2.97,0.0,33.58,192174.0
1,600000,浦发银行,3.8,7.27,10.03,,银行,上海,6.07,281.04,293.52,606383680.0,0.0,2527500.0,8176000.0,2.79,1.45,13.2,0.88,19991110,10843900.0,3.69,3.18,2.97,0.0,33.58,192174.0
2,600008,首创股份,1.05,2.42,3.88,4.9,环境保护,北京,38.44,48.21,48.21,5099431.0,933444.81,489776.5,60764.32,0.13,0.127,1.68,2.91,20000427,202689.77,0.42,17.36,0.18,31.4,6.59,281700.0
3,600009,上海机场,3.42,7.32,11.15,14.65,机场,上海,23.31,10.93,19.27,2754740.0,1007960.63,905877.31,257549.8,1.34,1.912,13.04,3.42,19980218,1931995.75,10.03,15.98,31.29,49.82,45.69,32000.0
4,600010,包钢股份,0.41,1.22,2.88,,普钢,内蒙,52.99,220.39,455.85,14440730.0,3761919.25,6311459.0,139903.02,0.03,0.031,1.07,2.04,20010309,57339.48,0.01,74.39,497.81,15.15,4.03,505738.0
5,600011,华能国际,0.88,1.13,3.75,2.37,火力发电,北京,53.74,105.0,152.0,37869372.0,4853771.0,24507948.0,1491323.88,0.98,0.11800000000000001,4.64,1.37,20011206,3196510.5,2.1,10.36,-82.73,11.31,1.18,90900.0
6,600015,华夏银行,2.89,6.19,8.72,,银行,北京,5.87,128.23,128.23,244578896.0,0.0,1265900.0,2662500.0,2.08,1.04,11.16,0.78,20030912,6243600.0,4.87,5.2,-2.67,0.0,28.41,119794.0
7,600016,民生银行,3.97,7.71,10.85,13.14,银行,北京,5.74,295.52,364.85,590208576.0,0.0,4598700.0,6475300.0,1.77,1.35,10.12,0.77,20001219,16342000.0,4.48,-7.04,4.12,0.0,34.52,374800.0
8,600018,上港集团,1.78,5.52,7.63,16.6,港口,上海,13.9,227.55,231.74,14123490.0,5026564.0,3298806.75,789533.38,0.34,0.498,3.0,2.31,20061026,3148947.25,1.36,19.34,66.25,33.71,30.83,256100.0
9,600019,宝钢股份,2.46,4.07,7.43,11.65,普钢,上海,9.82,220.9,222.68,35023464.0,13329261.0,15422166.0,4871456.0,2.19,0.861,7.38,1.14,20001212,6456963.0,2.9,17.44,111.22,14.07,6.63,372800.0
10,600021,上海电力,0.71,1.64,3.56,7.27,火力发电,上海,20.77,8.56,24.1,8091397.0,1025638.38,4688174.5,556086.63,2.31,0.385,5.29,1.51,20031029,438599.81,1.82,12.26,-14.96,19.63,4.92,120200.0
11,600023,浙能电力,1.57,,6.33,7.13,火力发电,浙江,16.85,136.01,136.01,11288338.0,2344487.0,5763435.5,2409230.75,1.77,0.319,4.47,1.2,20131219,1737330.0,1.28,30.67,-30.34,11.74,8.47,246400.0
12,600028,中国石化,2.28,3.76,5.35,7.02,石油加工,北京,15.68,955.58,1210.71,159550400.0,52904900.0,65077400.0,11955700.0,0.99,0.42200000000000004,6.01,1.1,20010808,29045900.0,2.4,22.23,10.13,19.9,2.17,496137.0
13,600029,南方航空,3.46,6.14,13.9,11.92,空运,广东,17.04,70.23,100.88,21832900.0,1788400.0,15825501.0,1511500.0,1.5,0.6,4.92,2.03,20030725,2166400.0,2.15,11.05,16.97,12.39,4.64,180900.0
14,600030,中信证券,1.57,3.42,5.39,7.63,证券,深圳,19.51,98.15,121.17,62557464.0,0.0,790296.75,5444553.0,4.49,0.9440000000000001,12.36,1.49,20030106,5200698.5,4.29,13.92,10.3,0.0,26.41,584200.0
15,600031,三一重工,3.16,4.79,7.24,8.2,工程机械,湖南,26.42,76.47,77.07,5925591.5,3707612.5,1293353.13,84894.2,0.11,0.24,3.26,2.53,20030703,1518948.75,1.97,70.77,932.56,30.13,6.4,423546.0
16,600036,招商银行,4.74,9.36,13.42,14.6,银行,深圳,9.95,206.29,252.2,629763776.0,0.0,4918100.0,6752300.0,2.68,2.782,19.04,1.45,20020409,24106300.0,9.56,5.68,13.0,0.0,31.76,208900.0
17,600038,中直股份,1.02,2.22,3.86,6.3,航空,黑龙江,61.2,5.89,5.89,2250137.0,1896803.75,235826.7,423271.94,7.18,0.773,12.25,3.86,20001218,189350.31,3.21,-3.78,3.69,15.34,3.78,35700.0
18,600048,保利地产,2.07,6.17,8.78,14.6,全国地产,广东,14.14,117.36,118.58,63262392.0,58543904.0,341367.5,1500900.25,1.27,0.6970000000000001,7.94,1.66,20060731,6425729.5,5.42,-13.31,16.31,32.21,10.95,188114.0
19,600050,中国联通,0.35,0.99,1.66,0.31,电信运营,北京,385.44,211.97,310.28,57361736.0,7677146.5,36349944.0,7634633.0,2.46,0.02,5.96,0.89,20021009,2977337.0,0.96,0.23,176.39,24.69,0.15,749000.0
20,600061,国投资本,2.14,4.67,6.89,7.13,证券,上海,19.6,36.94,42.27,14240440.0,11911016.0,29264.72,2069310.75,4.9,0.68,8.59,1.4,19970519,844001.13,2.0,34.2,-16.78,7.12,367.47,46700.0
21,600066,宇通客车,2.27,6.61,14.33,20.18,汽车整车,河南,15.64,22.14,22.14,3616540.5,2743124.5,398276.69,127876.86,0.58,1.413,7.0,3.16,19970508,873079.31,3.94,-7.33,-22.62,26.32,9.42,48900.0
22,600068,葛洲坝,1.9,4.4,6.44,11.41,建筑施工,湖北,8.12,46.05,46.05,18692368.0,12318885.0,1428960.88,761648.81,1.65,0.89,5.44,1.52,19970526,1075982.63,2.34,6.54,37.94,13.07,4.39,277400.0
23,600074,ST保千里,3.73,7.73,8.4,,电脑设备,江苏,7.52,10.18,24.38,1057100.63,508550.06,35429.69,73631.88,0.3,0.166,1.97,0.84,19970623,188260.17,0.77,3.7,-34.48,39.58,13.63,101952.0
24,600085,同仁堂,3.63,7.46,9.94,12.08,中成药,北京,49.86,13.71,13.71,1870813.25,1468316.75,195157.86,200615.31,1.46,0.742,6.14,6.03,19970625,440313.56,3.21,10.63,9.02,46.24,7.61,61900.0
25,600089,特变电工,2.58,4.81,6.39,7.46,电气设备,新疆,12.74,37.14,37.15,8495627.0,5079561.5,2152370.25,1112104.0,2.99,0.55,7.4,1.15,19970618,1165817.88,3.14,6.78,5.05,22.24,6.6,273190.0
26,600100,同方股份,-1.26,-0.58,-0.88,,电脑设备,北京,0.0,29.64,29.64,6275041.5,3143546.5,357072.25,930074.31,3.14,-0.062,7.05,1.46,19970627,697220.31,2.35,-4.03,-103.62,19.43,-1.12,227793.0
27,600104,上汽集团,3.83,7.75,11.42,15.27,汽车整车,上海,10.65,115.03,116.83,72353312.0,38994852.0,5822666.0,5486843.5,4.7,2.96,19.29,1.63,19971125,10469464.0,8.96,14.97,7.51,13.47,4.01,102400.0
28,600109,国金证券,1.6,3.05,4.76,6.37,证券,四川,21.67,30.24,30.24,4209322.0,0.0,11220.96,784270.38,2.59,0.397,6.23,1.38,19970807,506445.06,1.67,-6.01,-7.49,0.0,27.36,148258.0
29,600111,北方稀土,0.88,1.32,3.96,,小金属,内蒙,100.53,36.33,36.33,2202781.75,1681062.0,263439.0,15597.85,0.04,0.096,2.42,5.31,19970924,361974.94,1.0,98.97,916.71,20.88,4.92,350135.0
30,600115,东方航空,5.62,8.41,14.5,11.96,空运,上海,15.31,98.08,144.68,22746400.0,1829300.0,16313000.0,2676000.0,1.85,0.439,3.67,1.83,19971105,1387900.0,0.96,3.21,40.91,11.24,6.24,221100.0
31,600118,中国卫星,1.17,3.57,5.09,7.9,航空,北京,67.24,11.82,11.82,974338.19,718764.38,125209.46,163995.98,1.39,0.34600000000000003,4.38,5.31,19970908,223539.2,1.89,16.54,3.0,12.95,5.55,147291.0
32,600157,永泰能源,0.44,1.06,1.7,,煤炭开采,山西,50.94,124.26,124.26,10654263.0,1798755.75,2477930.5,946351.81,0.76,0.033,1.94,1.16,19980513,222095.02,0.18,124.78,-10.75,25.19,2.4,222200.0
33,600170,上海建工,1.94,4.92,7.14,9.56,建筑施工,上海,12.51,84.87,89.04,19568520.0,16015570.0,748386.38,231225.92,0.26,0.28,2.7,1.35,19980623,1036754.19,1.16,6.3,23.34,10.47,1.82,210500.0
34,600177,雅戈尔,5.47,8.75,11.31,,服饰,浙江,8.59,35.81,35.81,6600548.5,2847909.0,515420.69,370599.38,1.03,0.748,6.61,1.3,19981119,1665261.5,4.65,-29.81,-19.0,48.57,36.27,147606.0
35,600188,兖州煤业,3.82,6.3,8.89,12.32,煤炭开采,山东,9.38,29.6,49.12,19488730.0,6613887.0,4536464.0,124658.3,0.25,1.3780000000000001,9.3,1.39,19980701,3774876.75,7.68,47.85,213.19,16.62,4.48,68300.0
36,600196,复星医药,3.23,6.84,9.47,12.33,化学制药,上海,30.61,19.1,24.95,6197101.0,1505648.75,655600.44,907826.81,3.64,1.27,10.15,3.78,19980807,1111156.5,4.45,26.69,11.36,58.94,16.86,91300.0
37,600208,新湖中宝,1.29,1.61,5.57,,全国地产,浙江,16.4,85.98,85.99,12688068.0,8872464.0,22791.05,801022.44,0.93,0.201,3.61,1.22,19990623,1334704.63,1.55,7.06,149.18,18.41,18.56,117511.0
38,600219,南山铝业,0.89,2.32,4.07,4.92,铝,山东,18.26,70.88,92.51,4604052.0,1517301.25,2597452.0,1467972.5,1.59,0.174,3.54,0.9,19991223,785365.94,0.85,29.03,22.75,22.58,9.44,233400.0
39,600221,海航控股,1.41,1.9,4.41,5.76,空运,海南,16.44,164.36,168.06,19734788.0,4310229.5,7390793.5,1788220.38,1.06,0.18,3.12,1.04,19991125,1570956.0,0.93,47.26,5.89,13.54,5.55,426000.0
40,600233,圆通速递,3.29,8.17,11.96,15.64,仓储物流,辽宁,29.69,7.83,28.25,1414316.38,691226.94,293984.22,594220.13,2.1,0.511,3.26,4.65,20000608,281349.41,1.0,18.82,5.16,11.73,7.22,58300.0
41,600271,航天信息,4.03,6.09,11.37,15.18,电脑设备,北京,29.01,18.47,18.63,1950105.38,1566238.88,97311.71,37821.92,0.2,0.84,5.27,4.6,20030711,680439.81,3.65,16.17,1.34,15.99,5.23,82400.0
42,600276,恒瑞医药,6.14,11.51,16.13,20.93,化学制药,江苏,71.22,28.17,28.33,1803938.38,1446853.13,199792.45,98691.8,0.35,1.136,5.46,14.82,20001018,1054488.0,3.72,24.72,24.25,86.63,23.25,70600.0
43,600297,广汇汽车,3.79,7.83,11.0,,汽车服务,辽宁,14.16,23.92,81.44,11722450.0,6676599.0,1191154.0,657765.0,0.81,0.4,3.55,1.9,20001116,1145511.5,1.41,25.03,45.1,10.21,2.59,32483.0
44,600309,万华化学,11.26,23.13,32.59,40.81,化工原料,山东,8.95,27.34,27.34,6582773.0,2520021.5,2761033.0,239282.55,0.88,4.09,9.98,3.65,20010105,1932001.0,7.07,76.49,202.62,39.7,20.96,128700.0
45,600332,白云山,2.71,6.41,8.08,10.92,中成药,广东,22.21,10.71,16.26,2831471.25,2150455.5,208224.45,987517.81,6.07,1.268,11.61,2.43,20010206,628599.63,3.87,4.58,36.71,37.66,9.84,72800.0
46,600340,华夏幸福,5.64,14.49,16.63,23.67,区域地产,河北,9.56,29.55,29.55,37586472.0,34848628.0,284216.66,343730.63,1.16,2.83,9.51,2.99,20031230,2019873.25,6.84,10.8,35.26,47.93,14.72,89200.0
47,600352,浙江龙盛,3.09,6.34,11.4,14.59,染料涂料,浙江,14.33,32.53,32.53,4635280.5,3116549.5,585940.25,155167.06,0.48,0.76,5.21,2.09,20030801,1175251.88,3.61,22.22,21.92,36.8,16.38,157100.0
48,600362,江西铜业,1.14,1.76,3.3,3.37,铜,江西,36.44,20.75,34.63,9746866.0,6317081.0,1871476.38,1168963.88,3.38,0.46299999999999997,13.73,1.23,20020111,1735893.0,5.01,1.35,104.57,4.49,0.78,144000.0
49,600362,江西铜业,1.14,1.76,3.3,3.37,铜,江西,36.44,20.75,34.63,9746866.0,6317081.0,1871476.38,1168963.88,3.38,0.46299999999999997,13.73,1.23,20020111,1735893.0,5.01,1.35,104.57,4.49,0.78,144000.0
50,600369,西南证券,0.12,1.92,3.04,3.45,证券,重庆,35.79,56.45,56.45,6369429.5,0.0,35340.85,776734.31,1.38,0.11800000000000001,3.43,1.23,20010109,261329.38,0.46,-15.72,-27.11,0.0,21.85,145100.0
51,600372,中航电子,-0.43,2.39,3.55,7.63,航空,北京,49.1,17.59,17.59,2119034.25,1581053.5,308356.28,139966.91,0.8,0.308,4.04,3.75,20010706,306123.0,1.74,0.93,17.82,32.26,7.72,58200.0
52,600373,中文传媒,4.13,6.9,9.34,11.9,出版业,江西,14.09,13.78,13.78,2048065.75,1298980.0,136328.66,543607.88,3.95,1.054,8.85,1.68,20020304,525601.38,3.81,4.15,12.13,36.15,10.91,35500.0
53,600376,首开股份,0.51,1.05,3.08,7.94,区域地产,北京,9.49,25.46,25.8,24046338.0,21782686.0,81914.46,766312.81,2.97,0.73,8.44,1.03,20010312,960551.5,3.72,22.74,24.26,32.72,6.44,48900.0
54,600383,金地集团,2.27,3.23,6.14,,全国地产,深圳,16.4,45.15,45.15,19660154.0,16537208.0,115418.42,361586.19,0.8,0.5,8.18,1.34,20010412,2599615.75,5.76,-18.79,32.32,34.57,10.97,49445.0
55,600390,五矿资本,1.46,3.34,6.8,,多元金融,湖南,13.28,5.14,37.48,12162129.0,5173735.5,87624.74,2216018.0,5.91,0.62,8.28,1.2,20010115,299719.06,0.8,-8.54,57.01,13.7,29.5,43851.0
